Bodenlaborwerte_ID,Probenahme_Boden_ID,Ph_Wert,Ct,C_hwl,Nt,NO3_N,NH4_N,CaCO3_C,P,K,Mg,Ca,B,Cu,Mn,Mo,Zn,F,Grobsand,Mittelsand,Feinsand,Grobschluff,Mittelschluff,Feinschluff,Ton,P_Koenigswasser,Mg_Koenigswasser,Ca_Koenigswasser,B_Koenigswasser,Cu_Koenigswasser,Mn_Koenigswasser,Mo_Koenigswasser,Zn_Koenigswasser,Al_Koenigswasser,Fe_Koenigswasser,S_Koenigswasser,Sr_Koenigswasser,Ti_Koenigswasser,Cd_Koenigswasser,Ni_Koenigswasser,Pb_Koenigswasser,Bemerkungen_ID
47,47,,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,49,,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,,679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51,,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52,,694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57,,615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,59,,663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60,,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,62,,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63,,645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,64,,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,65,,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,66,,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,67,,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,68,,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,69,,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,70,,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,71,,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,72,,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,73,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,74,,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,75,,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,76,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,77,,551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,78,,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,79,,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,80,,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,81,,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,82,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,83,,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,84,,563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,85,,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,86,,589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,87,,670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,88,,596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,89,,587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,90,,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,91,,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,92,,596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,93,,681,,65.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,94,,724,,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,95,,605,,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,96,,625,,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,97,,521,,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,,505,,47.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,99,,515,,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,100,,636,,63.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,101,,596,,57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,102,,519,,57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,103,,525,,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,104,,554,,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,105,,518,,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,106,,558,,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,107,,652,,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,108,,554,,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,109,,569,,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,110,,471,,46.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,111,,500,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,112,,499,,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,113,,539,,50.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,114,,628,,57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,115,,601,,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,116,,604,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,117,,556,,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,118,,591,,54.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,119,,517,,48.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,120,,546,,49.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,121,,577,,55.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,122,,676,,57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,123,,590,,57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,124,,560,,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,125,,516,,51.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,126,,585,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,127,,542,,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,128,,567,,57.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,129,,639,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,130,,622,,58.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,131,,496,,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,132,,554,,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,133,,529,,49.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,134,,513,,50.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,135,,587,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,136,,653,,62.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,137,,592,,58.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,138,,552,,55.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,139,,603,,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,140,,671,,58.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,141,,586,,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,142,,594,,57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,143,,654,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,144,,596,,54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,145,,574,,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,146,,560,,51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,147,,598,,55.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,148,,608,,51.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,149,,565,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,150,,645,,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,151,,609,,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,152,,552,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,153,,558,,51.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,154,,560,,54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,155,,650,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,156,,619,,58.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,157,,650,,62.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,158,,607,,55.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,159,,582,,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,160,,563,,54.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,161,,557,,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,162,,632,,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,163,,590,,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,164,,637,,60.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,165,,700,,67.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,166,,661,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,167,,629,,58.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,168,,586,,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,169,,554,,52.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,170,,680,,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,171,,607,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,172,,619,,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,173,,671,,57.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,174,,668,,63.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,175,,618,,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,176,,659,,59.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,177,,580,,57.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,178,,592,,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,179,,576,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,180,,617,,57.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,181,,596,,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,182,,626,,60.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,183,,662,,62.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,184,,602,,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,185,,664,,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,186,,652,,63.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,187,,621,,61.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,188,,544,,57.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,189,,568,,50.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,190,,694,,57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,191,,586,,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,192,,651,,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,193,,576,,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,194,,613,,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,195,,624,,60.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,196,,555,,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,197,,593,,57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,198,,585,,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,199,,576,,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,200,,561,,51.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,201,,607,,57.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,202,,607,,61.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,203,,543,,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,204,,548,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,205,,585,,57.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,206,,583,,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,207,,609,,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,208,,560,,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,209,,602,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,210,,602,,55.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,211,,599,,52.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,212,,589,,57.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,213,,550,,50.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,214,,522,,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,215,,615,,57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,216,,645,,60.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,217,,578,,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,218,,551,,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,219,,585,,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,220,,618,,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,221,,604,,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,222,,574,,56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,223,,617,,57.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,224,,605,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,225,,561,,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,226,,532,,50.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,227,,591,,60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,228,,594,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,229,,581,,59.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,230,,585,,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,231,,594,,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,232,,578,,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,233,,614,,57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,234,,627,,58.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,235,,661,,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,236,,609,,62.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,237,,542,,52.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,238,,570,,54.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,239,,547,,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,240,,578,,55.6,,,,6.2,11,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,241,,695,,66.3,,,,6.8,13,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,242,,570,,55.7,,,,5.8,8,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,243,,482,,44.5,,,,5.2,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,244,,485,,47.4,,,,5.4,7,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,245,,492,,48.7,,,,6.1,8,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,246,,416,,44.3,,,,4.6,5,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,247,,624,,56.3,,,,6.4,10,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,248,,580,,54.3,,,,5.1,8,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,249,,530,,53.5,,,,5.4,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,250,,547,,51.6,,,,5.1,8,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,251,,499,,63.7,,,,5.6,11,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,252,,514,,50.1,,,,6.4,11,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,253,,539,,49.8,,,,5.1,7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,254,,567,,53.3,,,,5.4,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,255,,574,,53.6,,,,5.8,10,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,256,,532,,55.9,,,,6.6,13,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,257,,518,,50.3,,,,6.2,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,258,,555,,51,,,,5.6,8,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,259,,466,,45.7,,,,5.4,10,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,260,,471,,46.5,,,,5.1,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,261,,558,,54.2,,,,5.1,7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,262,,561,,53.4,,,,6.2,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,263,,582,,56.3,,,,5.1,8,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,264,,546,,51.7,,,,5.8,8,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,265,,572,,50.2,,,,6.8,13,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,266,,505,,49.8,,,,5.4,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,267,,533,,47.1,,,,5.4,7,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,268,,541,,53.9,,,,6.6,13,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,269,,645,,58.5,,,,6.2,11,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,270,,598,,56.2,,,,6.1,8,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,271,,577,,55.7,,,,5.6,8,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,272,,468,,43.7,,,,4.6,5,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,273,,535,,52.8,,,,6.4,10,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
