name,resulttype,resultformat,concept,element,element_uri,unit_symbol,unit_uri,quantity_kind_uri,method,description,primary_key
Mo,decimal,,sosa:observedProperty,molybdenum,http://w3id.org/glosis/model/layerhorizon/molybdenumProperty,,,,,"The concentration of molybdenum in the soil, usually expressed in milligrams per kilogram.",False
Zn,decimal,,sosa:observedProperty,zinc content,http://opendata.inrae.fr/thesaurusINRAE/c_16440,,,,,"The concentration of zinc in the soil, typically measured in milligrams per kilogram.",False
F,decimal,,sosa:observedProperty,fluorine,http://aims.fao.org/aos/agrovoc/c_2996,,,,,"The concentration of fluorine in the soil, usually expressed in milligrams per kilogram.",False
Grobsand,decimal,,sosa:observedProperty,coarse sand,http://aims.fao.org/aos/agrovoc/c_c03927e1,,,,,"The percentage of coarse sand particles in the soil, typically measured by particle size analysis.",False
Mittelsand,decimal,,sosa:observedProperty,,,,,,,"The percentage of medium sand particles in the soil, usually determined through particle size analysis.",False
Feinsand,decimal,,sosa:observedProperty,fine sand,http://aims.fao.org/aos/agrovoc/c_a91f25d6,,,,,"The percentage of fine sand particles in the soil, typically measured by particle size analysis.",False
Grobschluff,decimal,,sosa:observedProperty,,,,,,,"The percentage of coarse silt particles in the soil, usually determined through particle size analysis.",False
Mittelschluff,decimal,,sosa:observedProperty,,,,,,,"The percentage of medium silt particles in the soil, typically measured by particle size analysis.",False
Feinschluff,decimal,,sosa:observedProperty,,,,,,,"The percentage of fine silt particles in the soil, usually determined through particle size analysis.",False
Ton,decimal,,sosa:observedProperty,clay content,https://data.geoscience.earth/ncl/ISO11074v2025/3.74,,,,,"The percentage of clay particles in the soil, typically measured by particle size analysis.",False
P_Koenigswasser,integer,,sosa:observedProperty,phosphorus,http://www.eionet.europa.eu/gemet/concept/6196,,,,,"The concentration of phosphorus in the soil extracted with König water, usually expressed in milligrams per kilogram.",False
Mg_Koenigswasser,integer,,sosa:observedProperty,magnesium,http://aims.fao.org/aos/agrovoc/c_4517,,,,,"The concentration of magnesium in the soil extracted with König water, typically measured in milligrams per kilogram.",False
Ca_Koenigswasser,integer,,sosa:observedProperty,calcium content,http://www.eionet.europa.eu/gemet/concept/1112,,,,,"The concentration of calcium in the soil extracted with König water, usually expressed in milligrams per kilogram.",False
B_Koenigswasser,decimal,,sosa:observedProperty,boron,http://www.eionet.europa.eu/gemet/concept/965,,,,,"The concentration of boron in the soil extracted with König water, typically measured in milligrams per kilogram.",False
Cu_Koenigswasser,decimal,,sosa:observedProperty,copper,http://www.eionet.europa.eu/gemet/concept/1792,,,,,"The concentration of copper in the soil extracted with König water, usually expressed in milligrams per kilogram.",False
Mn_Koenigswasser,integer,,sosa:observedProperty,manganese,http://w3id.org/glosis/model/layerhorizon/manganeseProperty,,,,,"The concentration of manganese in the soil extracted with König water, typically measured in milligrams per kilogram.",False
Mo_Koenigswasser,decimal,,sosa:observedProperty,molybdenum,http://w3id.org/glosis/model/layerhorizon/molybdenumProperty,,,,,"The concentration of molybdenum in the soil extracted with König water, usually expressed in milligrams per kilogram.",False
Zn_Koenigswasser,decimal,,sosa:observedProperty,zinc content,http://opendata.inrae.fr/thesaurusINRAE/c_16440,,,,,"The concentration of zinc in the soil extracted with König water, typically measured in milligrams per kilogram.",False
Al_Koenigswasser,integer,,sosa:observedProperty,aluminium content,http://www.eionet.europa.eu/gemet/concept/355,,,,,"The concentration of aluminum in the soil extracted with König water, usually expressed in milligrams per kilogram.",False
Fe_Koenigswasser,integer,,sosa:observedProperty,iron,http://www.eionet.europa.eu/gemet/concept/4498,,,,,"The concentration of iron in the soil extracted with König water, typically measured in milligrams per kilogram.",False
S_Koenigswasser,decimal,,sosa:observedProperty,sulphur concentration,http://www.eionet.europa.eu/gemet/concept/8200,,,,,"The concentration of sulfur in the soil extracted with König water, usually expressed in milligrams per kilogram.",False
Sr_Koenigswasser,decimal,,sosa:observedProperty,strontium,http://www.eionet.europa.eu/gemet/concept/8144,,,,,"The concentration of strontium in the soil extracted with König water, typically measured in milligrams per kilogram.",False
Ti_Koenigswasser,integer,,sosa:observedProperty,titanium,http://www.eionet.europa.eu/gemet/concept/8495,,,,,"The concentration of titanium in the soil extracted with König water, usually expressed in milligrams per kilogram.",False
Cd_Koenigswasser,decimal,,sosa:observedProperty,cadmium contamination,http://www.eionet.europa.eu/gemet/concept/1101,,,,,"The concentration of cadmium in the soil extracted with König water, typically measured in milligrams per kilogram.",False
Ni_Koenigswasser,decimal,,sosa:observedProperty,nickel,http://www.eionet.europa.eu/gemet/concept/5589,,,,,"The concentration of nickel in the soil extracted with König water, usually expressed in milligrams per kilogram.",False
Pb_Koenigswasser,decimal,,sosa:observedProperty,lead contamination,http://www.eionet.europa.eu/gemet/concept/4725,,,,,"The concentration of lead in the soil extracted with König water, typically measured in milligrams per kilogram.",False
Bemerkungen_ID,string,,ssn:Property,,,,,,,A unique identifier for remarks or notes associated with specific soil observations.,False
