OBJECTID,ID,signal_ID,personal_ID,Date,year_month,site,plot,day,position,component,management,season,net_flux,gross_emission,gross_uptake,CO2_flux,ST,WFPS,BD,NH4,NO3,mineral_N,MIN_CO2,MBN,MBC,nirK,nirS,nosZI,nosZII
11,0,W_AF_r3_7m,W_AF_r3_7m,2018-04-07T00:00:00,2018_3,W,W p11,1,c_7m,b_crop_row,W_agro,a_spring,0.9753,1.0643,0.0416,0.5613,18.4,54.19,1.2,53.3675,39.7817,93.1492,165.952610012471,,,551275118.41,70888256.54,90963906.66,130315751.49
12,0,W_AF_r3_24m,W_AF_r3_24m,2018-04-07T00:00:00,2018_3,W,W p12,1,d_24m,b_crop_row,W_agro,a_spring,0.3779,0.686,0.123,0.9771,18.4,48.38,0.98,14.3646,22.4262,36.7908,37.6530549585508,,,562527743.68,69206585.1,120880259.53,145668896.38
13,0,W_AF_r4_T,W_AF_r4_T,2018-04-07T00:00:00,2018_3,W,W p13,1,a_tree,a_tree_row,W_agro,a_spring,0.0383,0.1995,0.0458,1.8952,18.4,72.94,1.09,6.2951,0.5167,6.8118,3.59423807513719,,,1164824131.53,140937279.95,145980552.35,194479673.71
14,0,W_AF_r4_1m,W_AF_r4_1m,2018-04-07T00:00:00,2018_3,W,W p14,1,b_1m,b_crop_row,W_agro,a_spring,0.2736,0.3786,0.022,0.6066,18.4,41.54,1.02,14.5045,21.3079,35.8124,59.0379162545335,,,841744190.3,105144510.86,135119665.52,139528408.79
15,0,W_AF_r4_7m,W_AF_r4_7m,2018-04-07T00:00:00,2018_3,W,W p15,1,c_7m,b_crop_row,W_agro,a_spring,0.5013,0.7104,0.0649,0.771,18.4,47.16,1.09,23.6728,27.3885,51.0613,66.2273670557717,,,601998112.55,57335712.06,97593033.06,110398936.89
16,0,W_AF_r4_24m,W_AF_r4_24m,2018-04-07T00:00:00,2018_3,W,W p16,1,d_24m,b_crop_row,W_agro,a_spring,0.1441,0.1761,0.0132,0.507,18.4,48.51,1.12,3.3631,16.956,20.3191,40.0771203155819,,,938455692.65,94093306.63,135212693.85,217515650.08
17,0,W_C_r1,W_C_r1,2018-04-07T00:00:00,2018_3,W,W p17,1,e_C,c_mono,W_c_mono,a_spring,0.2152,0.268,0.0223,0.9458,18.4,42.24,0.97,15.6859,18.6537,34.3396,36.3074645802495,,,792618701.96,71779645.35,153378150.82,122387797.02
18,0,W_C_r2,W_C_r2,2018-04-07T00:00:00,2018_3,W,W p18,1,e_C,c_mono,W_c_mono,a_spring,0.5094,0.6446,0.0227,0.5378,18.4,43.38,1.1,41.7254,29.3353,71.0607,132.132205280774,,,473592572.31,52859111.41,82893835.49,90500442.22
19,0,W_C_r3,W_C_r3,2018-04-07T00:00:00,2018_3,W,W p19,1,e_C,c_mono,W_c_mono,a_spring,0.9094,1.166,0.0741,0.7225,18.4,42.33,1.01,37.0026,27.7737,64.7762,89.6556401384083,,,628741849.46,41757389.99,93410191.3,104949629.22
20,0,W_C_r4,W_C_r4,2018-04-07T00:00:00,2018_3,W,W p20,1,e_C,c_mono,W_c_mono,a_spring,0.7505,1.0065,0.075,0.6473,18.4,40.62,0.92,42.9147,20.9485,63.8632,98.6608991194191,,,435192884.78,44730276.5,86585375.27,77156331.65
21,0,W_AF_r1_T,W_AF_r1_T,2018-04-29T00:00:00,2018_4,W,W p1,23,a_tree,a_tree_row,W_agro,a_spring,0.0672,0.1881,0.0923,1.6351,15.7,66.7,1.03,5.4039,1.5848,6.9887,4.27417283346584,87.51112696,592.553057745719,1482963018.09,137834152.87,144300982.73,287934610.6
22,0,W_AF_r1_1m,W_AF_r1_1m,2018-04-29T00:00:00,2018_4,W,W p2,23,b_1m,b_crop_row,W_agro,a_spring,0.3592,0.4848,0.0578,0.8608,15.7,53.08,1.07,3.5753,67.4261,71.0014,82.4830390334572,75.2315496,595.977584430426,482463133.46,77592413.39,46150026.6,111622727.03
23,0,W_AF_r1_7m,W_AF_r1_7m,2018-04-29T00:00:00,2018_4,W,W p3,23,c_7m,b_crop_row,W_agro,a_spring,0.2389,0.3213,0.0554,1.1767,15.7,44.36,1.1,39.0508,15.2959,54.3467,46.1856887906858,11.43505988,285.243846301171,1007102943.55,124669188.83,76721454.74,171701756.44
24,0,W_AF_r1_24m,W_AF_r1_24m,2018-04-29T00:00:00,2018_4,W,W p4,23,d_24m,b_crop_row,W_agro,a_spring,0.2121,0.3263,0.0475,0.9085,15.5,46.61,1.15,12.5043,47.0097,59.514,65.5079801871216,33.31902284,424.44450217567,434626440,77479032.79,53217397.51,104017495.45
25,0,W_AF_r2_T,W_AF_r2_T,2018-04-29T00:00:00,2018_4,W,W p5,23,a_tree,a_tree_row,W_agro,a_spring,-0.0093,0.2631,0.2099,1.5482,15.8,70.21,0.95,10.4856,0.4124,10.898,7.03914222968609,97.93031725,560.952146770478,2434270083.67,155685745.29,183861847.77,251913241.23
26,0,W_AF_r2_1m,W_AF_r2_1m,2018-04-29T00:00:00,2018_4,W,W p6,23,b_1m,b_crop_row,W_agro,a_spring,0.1346,0.1974,0.0451,0.7662,15.5,46.79,1.01,4.0716,4.0967,8.1683,10.6607935264944,106.033823,601.530051168172,333460803.54,44865611.85,70463083.89,80098092.54
27,0,W_AF_r2_7m,W_AF_r2_7m,2018-04-29T00:00:00,2018_4,W,W p7,23,c_7m,b_crop_row,W_agro,a_spring,0.8043,1.2648,0.2235,1.3837,15.6,41.53,0.75,22.7409,15.2038,37.9447,27.4226349642264,69.98006758,464.254876359846,1018988218.01,154651337.77,113151342.68,149921652.55
28,0,W_AF_r2_24m,W_AF_r2_24m,2018-04-29T00:00:00,2018_4,W,W p8,23,d_24m,b_crop_row,W_agro,a_spring,0.7111,0.8244,0.0637,0.9088,15.7,44.85,0.97,63.4237,47.9513,111.375,122.551716549296,,305.642986204157,900697343.48,72032811.93,98104965.99,122479854.57
29,0,W_AF_r3_T,W_AF_r3_T,2018-04-29T00:00:00,2018_4,W,W p9,23,a_tree,a_tree_row,W_agro,a_spring,0.0662,0.2024,0.0998,1.2643,15.9,57.39,1.14,6.312,0.7348,7.0468,5.57367713359171,129.3675677,814.850370078043,622059423.08,92403604.23,79605297.55,161362879.99
30,0,W_AF_r3_1m,W_AF_r3_1m,2018-04-29T00:00:00,2018_4,W,W p10,23,b_1m,b_crop_row,W_agro,a_spring,0.2725,0.5902,0.1805,0.9591,15.9,47.57,1.11,24.9786,71.518,96.4966,100.611615055781,107.8507569,559.237106633192,740115981.41,89008560.45,126242263.26,190450022.71
31,0,W_AF_r3_7m,W_AF_r3_7m,2018-04-29T00:00:00,2018_4,W,W p11,23,c_7m,b_crop_row,W_agro,a_spring,0.2941,0.4478,0.1009,1.3344,18.4,43.16,1.09,31.4527,15.798,47.2507,35.4096972422062,94.59923689,524.201876027798,453826804.82,70312670.98,85355798.66,148592760.89
32,0,W_AF_r3_24m,W_AF_r3_24m,2018-04-29T00:00:00,2018_4,W,W p12,23,d_24m,b_crop_row,W_agro,a_spring,0.2427,0.5073,0.1772,1.5493,18.2,45.74,1.13,78.4336,21.362,99.7956,64.4133479635965,59.22224699,596.401839893647,590065199.36,71602366.71,81754197.88,107002442.24
33,0,W_AF_r4_T,W_AF_r4_T,2018-04-29T00:00:00,2018_4,W,W p13,23,a_tree,a_tree_row,W_agro,a_spring,0.1391,0.4455,0.1795,2.0174,17.9,57.92,1.07,3.1585,0.7585,3.917,1.9416080103103,82.74081337,543.200275252706,1717797219.02,122816078.18,156745980.44,189076131.04
34,0,W_AF_r4_1m,W_AF_r4_1m,2018-04-29T00:00:00,2018_4,W,W p14,23,b_1m,b_crop_row,W_agro,a_spring,0.3289,0.7032,0.0037,,17.9,44.57,1.09,39.5027,37.0272,76.5299,,37.94396168,326.82953997531,265238531.16,44339810.63,60925577.38,74529775.95
35,0,W_AF_r4_7m,W_AF_r4_7m,2018-04-29T00:00:00,2018_4,W,W p15,23,c_7m,b_crop_row,W_agro,a_spring,0.4986,0.6345,0.0048,1.5,18.4,39.54,1.11,51.9657,9.7715,61.7371,41.1580666666667,19.5716095,381.840985463557,490284666.98,82178381.45,85792568.28,117118219.35
36,0,W_AF_r4_24m,W_AF_r4_24m,2018-04-29T00:00:00,2018_4,W,W p16,23,d_24m,b_crop_row,W_agro,a_spring,0.4365,0.6041,0.0759,1.3756,19,39.56,1.04,33.3965,12.4032,45.7997,33.2943442861297,44.78760883,443.141813543349,619392075.86,55321765.07,82456610.75,153259855.42
37,0,W_C_r1,W_C_r1,2018-04-29T00:00:00,2018_4,W,W p17,23,e_C,c_mono,W_c_mono,a_spring,0.437,0.531,0.0264,1.3193,19.3,37.35,1.01,11.1909,5.6958,16.8866,12.7996664898052,61.26989027,444.773118538438,240366461.13,39792185.29,71946892.1,63667539.94
38,0,W_C_r2,W_C_r2,2018-04-29T00:00:00,2018_4,W,W p18,23,e_C,c_mono,W_c_mono,a_spring,0.205,0.3087,0.0402,1.4848,19.4,39.89,0.98,18.4444,6.9774,25.4219,17.1214304956897,65.09508516,415.213754830281,703238811.34,178614809.13,241622983.2,211167698.52
39,0,W_C_r3,W_C_r3,2018-04-29T00:00:00,2018_4,W,W p19,23,e_C,c_mono,W_c_mono,a_spring,0.1019,0.1523,0.0032,0.8974,18.7,33.22,0.96,17.0192,9.332,26.3512,29.3639402718966,54.37178475,396.286001894178,437536337.12,68626893.67,86749362.72,99735181.22
40,0,W_C_r4,W_C_r4,2018-04-29T00:00:00,2018_4,W,W p20,23,e_C,c_mono,W_c_mono,a_spring,0.1353,0.2023,0.0465,1.1121,19.2,38.51,1.08,21.8121,8.2332,30.0453,27.016725114648,31.42037081,386.614620255779,592256759.24,87331210.83,142001492.32,115098939.7
41,0,W_AF_r1_T,W_AF_r1_T,2018-06-02T00:00:00,2018_5,W,W p1,57,a_tree,a_tree_row,W_agro,a_spring,-0.0402,0.0248,0.0162,0.9096,20,48.08,0.87,2.0493,1.3115,3.3608,3.6948109058927,,,604009325.94,70475156.44,109905567.11,74034890.32
42,0,W_AF_r1_1m,W_AF_r1_1m,2018-06-02T00:00:00,2018_5,W,W p2,57,b_1m,b_crop_row,W_agro,a_spring,0.0812,0.2059,0.0774,0.3752,19.9,42.03,1.2,10.5566,118.6303,129.1869,344.314765458422,,,682538024.58,78567864.58,74795710.38,130643683
43,0,W_AF_r1_7m,W_AF_r1_7m,2018-06-02T00:00:00,2018_5,W,W p3,57,c_7m,b_crop_row,W_agro,a_spring,0.0321,0.4229,0.2389,0.6105,19.9,40.63,1.05,1.8489,1.5015,3.3504,5.48796068796069,,,629751122.9,79360286.49,76291435.59,126569459.05
44,0,W_AF_r1_24m,W_AF_r1_24m,2018-06-02T00:00:00,2018_5,W,W p4,57,d_24m,b_crop_row,W_agro,a_spring,0.0377,0.2456,0.1073,0.4156,19.9,25.07,1.08,3.3029,10.426,13.7288,33.0336862367661,,,692228617.18,139896196.04,152024423.47,131038950.72
45,0,W_AF_r2_T,W_AF_r2_T,2018-06-02T00:00:00,2018_5,W,W p5,57,a_tree,a_tree_row,W_agro,a_spring,-0.0078,0,0.0032,0.7035,19.8,50.35,1.4,6.0338,0.5094,6.5433,9.30106609808102,,,1439970572.45,160051557.19,239249234.48,223856913.96
46,0,W_AF_r2_1m,W_AF_r2_1m,2018-06-02T00:00:00,2018_5,W,W p6,57,b_1m,b_crop_row,W_agro,a_spring,0.0085,0.0621,0.0327,0.4998,19.7,40.18,1.11,1.8842,27.2674,29.1516,58.3265306122449,,,680950356.34,89542759.6,86231970.89,122706365
47,0,W_AF_r2_7m,W_AF_r2_7m,2018-06-02T00:00:00,2018_5,W,W p7,57,c_7m,b_crop_row,W_agro,a_spring,-0.0032,0.0772,0.0251,0.5199,20,43.09,1.23,1.173,13.8886,15.0616,28.9701865743412,,,568123885.02,55278414.87,71240144.63,99094131.89
48,0,W_AF_r2_24m,W_AF_r2_24m,2018-06-02T00:00:00,2018_5,W,W p8,57,d_24m,b_crop_row,W_agro,a_spring,0.2669,0.615,0.2016,0.5185,19.8,33.11,1.29,3.9308,26.2275,30.1583,58.1645130183221,,,584208815.68,40941357.04,52870913.37,69377722.31
49,0,W_AF_r3_T,W_AF_r3_T,2018-06-02T00:00:00,2018_5,W,W p9,57,a_tree,a_tree_row,W_agro,a_spring,-0.0058,0,0.0043,0.8426,19.9,62.39,1.09,2.3569,1.2499,3.6068,4.2805601708996,,,755872069.57,63181227.46,82642884.01,79195324.52
50,0,W_AF_r3_1m,W_AF_r3_1m,2018-06-02T00:00:00,2018_5,W,W p10,57,b_1m,b_crop_row,W_agro,a_spring,0.1072,0.2316,0.0773,0.5046,19.5,44.24,1.22,11.1832,156.9274,168.1107,333.156361474435,,,1020416686.68,114387188.45,147081925.4,210575030.27
51,0,W_AF_r3_7m,W_AF_r3_7m,2018-06-02T00:00:00,2018_5,W,W p11,57,c_7m,b_crop_row,W_agro,a_spring,0.3017,0.3132,0.007,0.7297,22.8,37.74,1.1,11.9067,22.7469,34.6536,47.4902014526518,,,479942485.73,59567350.54,102693415.55,169852279.24
52,0,W_AF_r3_24m,W_AF_r3_24m,2018-06-02T00:00:00,2018_5,W,W p12,57,d_24m,b_crop_row,W_agro,a_spring,0.1633,0.1527,0,1.3112,23,28.49,0.65,39.5189,25.7045,65.2234,49.743288590604,,,552574469.49,88686270.13,94165312.22,182740124.22
53,0,W_AF_r4_T,W_AF_r4_T,2018-06-02T00:00:00,2018_5,W,W p13,57,a_tree,a_tree_row,W_agro,a_spring,0.0776,0.3462,0.1735,1.4106,22.8,42.59,0.98,1.0566,0.6462,1.7028,1.20714589536368,,,1409289038.6,106908995.45,242488376.11,131296901.41
54,0,W_AF_r4_1m,W_AF_r4_1m,2018-06-02T00:00:00,2018_5,W,W p14,57,b_1m,b_crop_row,W_agro,a_spring,0.0249,0.3364,0.2239,1.1004,23,35.9,0.97,1.3378,10.1201,11.4578,10.4123954925482,,,1081951268.42,107254137.67,207444128.24,172475480.47
55,0,W_AF_r4_7m,W_AF_r4_7m,2018-06-02T00:00:00,2018_5,W,W p15,57,c_7m,b_crop_row,W_agro,a_spring,0.1069,0.1406,0.0211,0.7411,22.8,37.16,0.95,5.5213,9.056,14.5773,19.6698151396573,,,690740235.91,71654964.85,96216059.05,155383034.4
56,0,W_AF_r4_24m,W_AF_r4_24m,2018-06-02T00:00:00,2018_5,W,W p16,57,d_24m,b_crop_row,W_agro,a_spring,0.1707,0.3718,0.1125,0.9083,22.8,28.77,0.74,18.5763,29.5508,48.1271,52.9859077397336,,,461434774.01,53834777.24,72491546.67,119592003.52
57,0,W_C_r1,W_C_r1,2018-06-02T00:00:00,2018_5,W,W p17,57,e_C,c_mono,W_c_mono,a_spring,0.164,0.2634,0.0459,0.8382,23,22.09,0.85,13.045,13.1985,26.2435,31.3093533762825,,,394377259.99,55799980.27,94077894.34,98442196.81
58,0,W_C_r2,W_C_r2,2018-06-02T00:00:00,2018_5,W,W p18,57,e_C,c_mono,W_c_mono,a_spring,0.0908,0.1396,0.0212,0.5464,23,13.89,1.04,13.5083,19.4034,32.9116,60.2335285505124,,,664649787.81,84908224.8,138730807.96,136254431.35
59,0,W_C_r3,W_C_r3,2018-06-02T00:00:00,2018_5,W,W p19,57,e_C,c_mono,W_c_mono,a_spring,0.1167,0.1839,0.0103,0.6361,23.1,21.82,0.95,33.0987,30.9267,64.0253,100.652884766546,,,1099567378.68,96286708.61,196608893.64,166907044.87
60,0,W_C_r4,W_C_r4,2018-06-02T00:00:00,2018_5,W,W p20,57,e_C,c_mono,W_c_mono,a_spring,0.0531,0.1219,0.0138,0.6359,23.3,24.41,0.82,6.0435,19.0696,25.1131,39.4922157571945,,,964565461.34,109281470.04,194112435.39,161646334.43
61,0,W_AF_r1_T,W_AF_r1_T,2018-08-10T00:00:00,2018_8,W,W p1,126,a_tree,a_tree_row,W_agro,b_summer,-0.0242,0.1882,0.1839,0.8406,18.9,45.64,0.99,5.3547,4.2052,9.5599,11.3727099690697,,,2464080044.83,206817902.18,202134437.41,259668906.39
62,0,W_AF_r1_1m,W_AF_r1_1m,2018-08-10T00:00:00,2018_8,W,W p2,126,b_1m,b_crop_row,W_agro,b_summer,2.4983,2.4986,0,0.6364,18.8,36.41,0.7,1.5171,7.4968,9.0139,14.1638906348209,,,803790339.83,133677511.25,51446452.33,158113587.88
63,0,W_AF_r1_7m,W_AF_r1_7m,2018-08-10T00:00:00,2018_8,W,W p3,126,c_7m,b_crop_row,W_agro,b_summer,0.2952,0.3541,0.0367,0.5879,18.7,34.85,0.89,0.8004,11.5664,12.3668,21.0355502636503,,,613977009.99,80433089.85,69700355.02,102299793.39
64,0,W_AF_r1_24m,W_AF_r1_24m,2018-08-10T00:00:00,2018_8,W,W p4,126,d_24m,b_crop_row,W_agro,b_summer,0.3197,0.4476,0.0762,0.9703,18.6,44.84,0.92,1.4043,10.0392,11.4435,11.7937751210966,,,982067657.21,129630857.63,122253638.19,177959874.96
65,0,W_AF_r2_T,W_AF_r2_T,2018-08-10T00:00:00,2018_8,W,W p5,126,a_tree,a_tree_row,W_agro,b_summer,0.0292,0.198,0.1455,1.003,18.8,39.37,1.12,6.0457,1.4712,7.5169,7.49441674975075,,,784612452.44,55335890.75,78997993.81,62518714.87
66,0,W_AF_r2_1m,W_AF_r2_1m,2018-08-10T00:00:00,2018_8,W,W p6,126,b_1m,b_crop_row,W_agro,b_summer,0.0935,0.1637,0.046,0.5244,18.6,37.36,0.92,2.767,9.9425,12.7095,24.2362700228833,,,550551583.67,32683986.61,45423177.6,42245928.54
67,0,W_AF_r2_7m,W_AF_r2_7m,2018-08-10T00:00:00,2018_8,W,W p7,126,c_7m,b_crop_row,W_agro,b_summer,0.019,0.1492,0.0799,0.8161,18.7,35.65,0.82,2.0822,8.4364,10.5186,12.8888616591104,,,2909205809.59,220341747.6,205964281.71,268405738.1
68,0,W_AF_r2_24m,W_AF_r2_24m,2018-08-10T00:00:00,2018_8,W,W p8,126,d_24m,b_crop_row,W_agro,b_summer,0.0482,0.1069,0.0394,0.7021,19.2,42.26,0.97,3.3437,11.5001,14.8438,21.1420025637374,,,601218480.26,70102195.08,58628253,80839949.7
69,0,W_AF_r3_T,W_AF_r3_T,2018-08-10T00:00:00,2018_8,W,W p9,126,a_tree,a_tree_row,W_agro,b_summer,0.0481,0.1809,0.0891,0.7652,21.5,29.99,1.09,2.2848,6.0043,8.2891,10.8325927861997,,,2737755326.11,162205057.62,298362619.29,326557261.7
70,0,W_AF_r3_1m,W_AF_r3_1m,2018-08-10T00:00:00,2018_8,W,W p10,126,b_1m,b_crop_row,W_agro,b_summer,,,,0.5382,21.6,32.71,0.83,0.7392,6.5322,7.2714,13.5105908584169,,,1106812673.3,147652418.96,118279419.55,211863855.77
71,0,W_AF_r3_7m,W_AF_r3_7m,2018-08-10T00:00:00,2018_8,W,W p11,126,c_7m,b_crop_row,W_agro,b_summer,0.4944,,,0.8535,21.1,34.22,0.81,0.0463,10.2014,10.2477,12.0066783831283,,,1120284179.67,194503037.83,195396622.82,234539657.38
72,0,W_AF_r3_24m,W_AF_r3_24m,2018-08-10T00:00:00,2018_8,W,W p12,126,d_24m,b_crop_row,W_agro,b_summer,0.7168,,,0.8407,21.4,40.13,1,0.2141,11.4476,11.6617,13.871416676579,,,1384148968,140195356.3,148218472.03,275535611.18
73,0,W_AF_r4_T,W_AF_r4_T,2018-08-10T00:00:00,2018_8,W,W p13,126,a_tree,a_tree_row,W_agro,b_summer,-0.0164,,,1.3051,18.8,33.4,1.12,4.3731,1.0398,5.4128,4.14742165351314,,,4974636663.87,357853901.81,593641260.16,550805474.9
74,0,W_AF_r4_1m,W_AF_r4_1m,2018-08-10T00:00:00,2018_8,W,W p14,126,b_1m,b_crop_row,W_agro,b_summer,0.7687,,,0.7885,18.7,31.76,1.12,0.9865,12.825,13.8115,17.5161699429296,,,549063141.1,78608168.55,79060594.54,113169146.44
75,0,W_AF_r4_7m,W_AF_r4_7m,2018-08-10T00:00:00,2018_8,W,W p15,126,c_7m,b_crop_row,W_agro,b_summer,0.1559,,,0.8063,21.6,31.84,0.89,0.3497,9.8735,10.2231,12.6790276571996,,,1875472052.32,114947340.96,141011615.92,141735173.01
76,0,W_AF_r4_24m,W_AF_r4_24m,2018-08-10T00:00:00,2018_8,W,W p16,126,d_24m,b_crop_row,W_agro,b_summer,0.2284,,,1.1007,21.7,39.75,1.01,0.559,11.3768,11.9357,10.8437358044881,,,924831708.65,100813337.77,87940040.25,117118219.35
77,0,W_C_r1,W_C_r1,2018-08-10T00:00:00,2018_8,W,W p17,126,e_C,c_mono,W_c_mono,b_summer,0.229,,,0.9581,21.7,32.07,0.77,0.369,11.2551,11.6241,12.1324496399123,,,612948890.72,66335125.5,96219078.73,120314428.06
78,0,W_C_r2,W_C_r2,2018-08-10T00:00:00,2018_8,W,W p18,126,e_C,c_mono,W_c_mono,b_summer,0.3548,,,0.5733,21.5,31.18,0.83,0.8382,12.3366,13.1748,22.9806384092098,,,658854007,83732789.72,97883859.47,133496820.9
79,0,W_C_r3,W_C_r3,2018-08-10T00:00:00,2018_8,W,W p19,126,e_C,c_mono,W_c_mono,b_summer,0.491,,,0.7634,21.4,29.31,0.92,0.6255,8.1819,8.8075,11.5372019910925,,,1223080123.89,138517617.99,162332965.88,172817016.07
80,0,W_C_r4,W_C_r4,2018-08-10T00:00:00,2018_8,W,W p20,126,e_C,c_mono,W_c_mono,b_summer,0.3038,,,0.5878,21.4,29.23,0.91,0.739,10.9423,11.6813,19.8729159578088,,,701881207.46,93974299.59,125752952.16,139550746.5
81,0,W_AF_r1_T,W_AF_r1_T,2018-09-25T00:00:00,2018_9,W,W p1,172,a_tree,a_tree_row,W_agro,c_fall,-0.0151,0.2735,0.2116,0.4057,10.2,42.78,1.11,3.1359,4.499,7.635,18.8193246241065,110.4,766.812092410644,1231759905.58,156646801.51,117094495.53,146243468.23
82,0,W_AF_r1_1m,W_AF_r1_1m,2018-09-25T00:00:00,2018_9,W,W p2,172,b_1m,b_crop_row,W_agro,c_fall,0.1788,0.1959,0,0.4569,9.8,46.66,0.99,1.0133,6.2485,7.2619,15.8938498577369,59.4,459.201394763507,981243826.67,106394013.66,75240041.33,105135827.27
83,0,W_AF_r1_7m,W_AF_r1_7m,2018-09-25T00:00:00,2018_9,W,W p3,172,c_7m,b_crop_row,W_agro,c_fall,-0.0039,0.043,0.0261,0.3358,9.9,48.3,1.01,0.68,6.6382,7.3182,21.7933293627159,51.6,455.221642309755,363524131.35,85837222.06,70851073.14,95848741.93
84,0,W_AF_r1_24m,W_AF_r1_24m,2018-09-25T00:00:00,2018_9,W,W p4,172,d_24m,b_crop_row,W_agro,c_fall,0.4162,0.5473,0.0683,0.346,10.1,46.5,1.07,1.3099,11.1462,12.4561,36.000289017341,41.5,371.351317788568,379904991.37,65473722.24,57777406.65,66876526.4
85,0,W_AF_r2_T,W_AF_r2_T,2018-09-25T00:00:00,2018_9,W,W p5,172,a_tree,a_tree_row,W_agro,c_fall,-0.0335,0.0115,0.0183,0.3651,10.2,45.88,1.05,2.0631,4.0034,6.0665,16.615995617639,106,759.807688151567,1213758209.26,121520042.85,150190310.81,155526685.89
86,0,W_AF_r2_1m,W_AF_r2_1m,2018-09-25T00:00:00,2018_9,W,W p6,172,b_1m,b_crop_row,W_agro,c_fall,-0.0141,0.3391,0.2621,0.3631,10.8,46.03,0.97,1.8003,25.3933,27.1936,74.8928669787937,48.7,418.929463958436,586345206.23,53867694.93,50693043.24,60699850.79
87,0,W_AF_r2_7m,W_AF_r2_7m,2018-09-25T00:00:00,2018_9,W,W p7,172,c_7m,b_crop_row,W_agro,c_fall,0.0847,0.2352,0.0949,0.3521,11.9,46.51,0.98,1.4228,10.4788,11.9016,33.8017608633911,35.2,237.005208330727,380070060.96,43070430.54,28630718.53,57513686.83
88,0,W_AF_r2_24m,W_AF_r2_24m,2018-09-25T00:00:00,2018_9,W,W p8,172,d_24m,b_crop_row,W_agro,c_fall,-0.0001,0.06,0.0256,0.344,10.5,47.35,0.9,1.4189,10.6256,12.0444,35.0127906976744,73.4,694.466737032273,445294073.59,48511351.03,48492390.38,46790654.17
89,0,W_AF_r3_T,W_AF_r3_T,2018-09-25T00:00:00,2018_9,W,W p9,172,a_tree,a_tree_row,W_agro,c_fall,-0.0177,0.0408,0.0111,0.5286,10.4,38.58,0.93,3.875,12.6121,16.4871,31.1901248581158,101.2,751.408000200181,1780314068.62,157153419.25,172814312.32,189806976.13
