name,resulttype,resultformat,concept,element,element uri,unit_symbol,unit_uri,quantity kind_uri,method,description,primary key
TOTN,decimal,,sosa:observedProperty,total nitrogen,http://aims.fao.org/aos/agrovoc/c_bdc779f4,g/g,http://qudt.org/vocab/unit/GM-PER-GM,http://qudt.org/vocab/quantitykind/MassRatio,,"Total nitrogen content in the soil, typically expressed as a percentage or weight fraction.",False
TCEQ,decimal,,ssn:Property,,,,,,,"Total carbon equivalent, which may relate to the overall carbon storage capacity of the soil.",False
GYPS,integer,,sosa:observedProperty,gypsum,http://www.eionet.europa.eu/gemet/concept/3806,g/g,http://qudt.org/vocab/unit/GM-PER-GM,http://qudt.org/vocab/quantitykind/MassRatio,,"Gypsum content in the soil, typically measured as a percentage or weight fraction.",False
BULK,decimal,,sosa:observedProperty,bulk density,https://data.geoscience.earth/ncl/ISO11074v2025/3.62,g/cm³,http://qudt.org/vocab/unit/GM-PER-CentiM3,http://qudt.org/vocab/quantitykind/Density,,"Bulk density of the soil, typically measured in grams per cubic centimeter.",False
WR17,integer,,sosa:observedProperty,volumetric water content,https://data.geoscience.earth/ncl/ISO11074v2025/3.571,%,http://qudt.org/vocab/unit/PERCENT,http://qudt.org/vocab/quantitykind/DimensionlessRatio,,"Water retention capacity of the soil at a specific depth, potentially measured in centimeters.",False
WR20,integer,,sosa:observedProperty,volumetric water content,https://data.geoscience.earth/ncl/ISO11074v2025/3.571,%,http://qudt.org/vocab/unit/PERCENT,http://qudt.org/vocab/quantitykind/DimensionlessRatio,,"Water retention capacity of the soil at a different specific depth, potentially measured in centimeters.",False
WR25,integer,,sosa:observedProperty,soil water retention,http://opendata.inrae.fr/thesaurusINRAE/c_401,%,http://qudt.org/vocab/unit/PERCENT,http://qudt.org/vocab/quantitykind/DimensionlessRatio,,"Water retention capacity of the soil at another specific depth, potentially measured in centimeters.",False
WR37,integer,,sosa:observedProperty,soil water retention,http://opendata.inrae.fr/thesaurusINRAE/c_401,%,http://qudt.org/vocab/unit/PERCENT,http://qudt.org/vocab/quantitykind/DimensionlessRatio,,"Water retention capacity of the soil at yet another specific depth, potentially measured in centimeters.",False
WR42,integer,,sosa:observedProperty,soil water retention,http://opendata.inrae.fr/thesaurusINRAE/c_401,%,http://qudt.org/vocab/unit/PERCENT,http://qudt.org/vocab/quantitykind/DimensionlessRatio,,"Water retention capacity of the soil at an additional specific depth, potentially measured in centimeters.",False
LATI,decimal,,geo:Feature,,,,,,,"Latitude of the soil sampling location, measured in degrees.",False
LNGI,decimal,,geo:Feature,,,,,,,"Longitude of the soil sampling location, measured in degrees.",False
LABO,string,,,laboratory,http://www.eionet.europa.eu/gemet/concept/4567,,,,,Laboratory code or identifier associated with the soil analysis.,False
ELEV,integer,,geo:Feature,,,,,,,"Elevation of the soil sampling location, typically measured in meters above sea level.",False
