name,resulttype,resultformat,concept,element,element uri,unit_symbol,unit_uri,quantity kind_uri,method,description,primary key
Bulk_Density_g_cm3,decimal,,sosa:observedProperty,bulk density,https://data.geoscience.earth/ncl/ISO11074v2025/3.62,g/cm³,http://qudt.org/vocab/unit/GM-PER-CentiM3,http://qudt.org/vocab/quantitykind/Density,,"The mass of soil per unit volume, measured in grams per cubic centimeter.",False
CN_Ratio,decimal,,sosa:observedProperty,carbon-to-nitrogen ratio,http://opendata.inrae.fr/thesaurusINRAE/c_4221,mol/mol,http://qudt.org/vocab/unit/MOL-PER-MOL,http://qudt.org/vocab/quantitykind/Unknown,,"The ratio of carbon to nitrogen in the soil, a dimensionless value indicating the balance of these two elements.",False
Kjeldahl_Nitrogen_mg_kg,decimal,,sosa:observedProperty,total nitrogen,http://aims.fao.org/aos/agrovoc/c_bdc779f4,mol/mol,http://qudt.org/vocab/unit/MOL-PER-MOL,http://qudt.org/vocab/quantitykind/Unknown,ISO 11261,"The total nitrogen content in the soil, measured using the Kjeldahl method, expressed in milligrams per kilogram.",False
Nitrate_Nitrogen_mg_kg,decimal,,sosa:observedProperty,nitrate,http://www.eionet.europa.eu/gemet/concept/5593,mg/kg,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,http://qudt.org/vocab/quantitykind/MassRatio,,"The concentration of nitrate nitrogen in the soil, measured in milligrams per kilogram.",False
Ammonium_Nitrogen_mg_kg,decimal,,sosa:observedProperty,ammonium,http://www.eionet.europa.eu/gemet/concept/379,mg/kg,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,http://qudt.org/vocab/quantitykind/MassRatio,,"The concentration of ammonium nitrogen in the soil, measured in milligrams per kilogram.",False
Nitrogen_pct,decimal,,sosa:observedProperty,soil nitrogen,http://opendata.inrae.fr/thesaurusINRAE/c_13527,g/hg,http://qudt.org/vocab/unit/GM-PER-HectoGM,http://qudt.org/vocab/quantitykind/MassRatio,,"The percentage of nitrogen content in the soil, measured as grams of nitrogen per 100 grams of soil.",False
Total_Nitrogen_mg_kg,decimal,,sosa:observedProperty,total nitrogen,http://aims.fao.org/aos/agrovoc/c_bdc779f4,mg/kg,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,http://qudt.org/vocab/quantitykind/MassRatio,ISO 11261,"The total nitrogen content in the soil, measured in milligrams per kilogram.",False
Phosphorus_mg_kg,decimal,,sosa:observedProperty,total phosphorus,http://aims.fao.org/aos/agrovoc/c_ac4b3c22,mg/kg,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,http://qudt.org/vocab/quantitykind/MassRatio,ISO 11263,"The concentration of phosphorus in the soil, measured in milligrams per kilogram.",False
Potassium_meq_100g,decimal,,sosa:observedProperty,potassium content,http://opendata.inrae.fr/thesaurusINRAE/c_17871,mEq/hg,http://qudt.org/vocab/unit/MilliEQ-PER-HectoGM,http://qudt.org/vocab/quantitykind/ReactiveChargePerMass,,"The amount of potassium in the soil, measured in milliequivalents per 100 grams of soil.",False
Calcium_meq_100g,decimal,,sosa:observedProperty,calcium content,http://www.eionet.europa.eu/gemet/concept/1112,mEq/hg,http://qudt.org/vocab/unit/MilliEQ-PER-HectoGM,http://qudt.org/vocab/quantitykind/ReactiveChargePerMass,,"The amount of calcium in the soil, measured in milliequivalents per 100 grams of soil.",False
Magnesium_meq_100g,decimal,,sosa:observedProperty,magnesium,http://aims.fao.org/aos/agrovoc/c_4517,mEq/hg,http://qudt.org/vocab/unit/MilliEQ-PER-HectoGM,http://qudt.org/vocab/quantitykind/ReactiveChargePerMass,,"The amount of magnesium in the soil, measured in milliequivalents per 100 grams of soil.",False
Sodium_meq_100g,decimal,,sosa:observedProperty,sodium,http://opendata.inrae.fr/thesaurusINRAE/c_15787,mEq/hg,http://qudt.org/vocab/unit/MilliEQ-PER-HectoGM,http://qudt.org/vocab/quantitykind/ReactiveChargePerMass,,"The amount of sodium in the soil, measured in milliequivalents per 100 grams of soil.",False
Boron_mg_kg,decimal,,sosa:observedProperty,boron,http://www.eionet.europa.eu/gemet/concept/965,mEq/hg,http://qudt.org/vocab/unit/MilliEQ-PER-HectoGM,http://qudt.org/vocab/quantitykind/ReactiveChargePerMass,,"The concentration of boron in the soil, measured in milligrams per kilogram.",False
Iron_mg_kg,decimal,,sosa:observedProperty,iron,http://www.eionet.europa.eu/gemet/concept/4498,mg/kg,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,http://qudt.org/vocab/quantitykind/MassRatio,,"The concentration of iron in the soil, measured in milligrams per kilogram.",False
Copper_mg_kg,decimal,,sosa:observedProperty,copper content,http://opendata.inrae.fr/thesaurusINRAE/c_16137,mg/kg,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,http://qudt.org/vocab/quantitykind/MassRatio,,"The concentration of copper in the soil, measured in milligrams per kilogram.",False
Zinc_mg_kg,decimal,,sosa:observedProperty,zinc content,http://opendata.inrae.fr/thesaurusINRAE/c_16440,mg/kg,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,http://qudt.org/vocab/quantitykind/MassRatio,,"The concentration of zinc in the soil, measured in milligrams per kilogram.",False
Manganese_mg_kg,decimal,,sosa:observedProperty,manganese,http://w3id.org/glosis/model/layerhorizon/manganeseProperty,mg/kg,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,http://qudt.org/vocab/quantitykind/MassRatio,,"The concentration of manganese in the soil, measured in milligrams per kilogram.",False
Carbonates_pct,decimal,,sosa:observedProperty,carbonates content,http://w3id.org/glosis/model/layerhorizon/carbonatesContentProperty,g/hg,http://qudt.org/vocab/unit/GM-PER-HectoGM,http://qudt.org/vocab/quantitykind/MassRatio,,"The percentage of carbonates in the soil, measured as grams of carbonates per 100 grams of soil.",False
CEC_meq_100g,decimal,,sosa:observedProperty,cation exchange capacityc soil,http://w3id.org/glosis/model/layerhorizon/cationExchangeCapacitycSoilProperty,mEq/hg,http://qudt.org/vocab/unit/MilliEQ-PER-HectoGM,http://qudt.org/vocab/quantitykind/ReactiveChargePerMass,,"The cation exchange capacity of the soil, measured in milliequivalents per 100 grams of soil.",False
Active_Lime_pct,decimal,,sosa:observedProperty,agricultural lime,http://aims.fao.org/aos/agrovoc/c_12182,g/hg,http://qudt.org/vocab/unit/GM-PER-HectoGM,http://qudt.org/vocab/quantitykind/MassRatio,,"The percentage of active lime in the soil, measured as grams of active lime per 100 grams of soil.",False
Clay_pct,decimal,,sosa:observedProperty,clay content,https://data.geoscience.earth/ncl/ISO11074v2025/3.74,g/hg,http://qudt.org/vocab/unit/GM-PER-HectoGM,http://qudt.org/vocab/quantitykind/MassRatio,ISO 11277,"The percentage of clay fraction in the soil, measured as grams of clay per 100 grams of soil.",False
Silt_pct,decimal,,sosa:observedProperty,silt,http://www.eionet.europa.eu/gemet/concept/7698,g/hg,http://qudt.org/vocab/unit/GM-PER-HectoGM,http://qudt.org/vocab/quantitykind/MassRatio,ISO 11277,"The percentage of silt fraction in the soil, measured as grams of silt per 100 grams of soil.",False
Sand_pct,decimal,,sosa:observedProperty,sand,http://www.eionet.europa.eu/gemet/concept/7413,g/hg,http://qudt.org/vocab/unit/GM-PER-HectoGM,http://qudt.org/vocab/quantitykind/MassRatio,ISO 11277,"The percentage of sand fraction in the soil, measured as grams of sand per 100 grams of soil.",False
Gravel_pct,decimal,,sosa:observedProperty,gravel,http://www.eionet.europa.eu/gemet/concept/3738,g/hg,http://qudt.org/vocab/unit/GM-PER-HectoGM,http://qudt.org/vocab/quantitykind/MassRatio,,"The percentage of gravel in the soil, measured as grams of gravel per 100 grams of soil.",False
USDA_Classification,string,,ssn:Property,,,,,,,The classification of soil texture according to USDA standards.,False
CaMg_Ratio,decimal,,sosa:observedProperty,,,mol/mol,http://qudt.org/vocab/unit/MOL-PER-MOL,http://qudt.org/vocab/quantitykind/Unknown,,"The ratio of calcium to magnesium in the soil, a dimensionless value.",False
KMg_Ratio,decimal,,sosa:observedProperty,,,mol/mol,http://qudt.org/vocab/unit/MOL-PER-MOL,http://qudt.org/vocab/quantitykind/Unknown,,"The ratio of potassium to magnesium in the soil, a dimensionless value.",False
CaK_Ratio,decimal,,sosa:observedProperty,,,mol/mol,http://qudt.org/vocab/unit/MOL-PER-MOL,http://qudt.org/vocab/quantitykind/Unknown,,"The ratio of calcium to potassium in the soil, a dimensionless value.",False
Longitude_EPSG4326,decimal,,geo:Feature,,,,,,,"The geographic longitude of the soil sampling point, expressed in decimal degrees using the WGS84 coordinate system.",True
Latitude_EPSG4326,decimal,,geo:Feature,,,,,,,"The geographic latitude of the soil sampling point, expressed in decimal degrees using the WGS84 coordinate system.",False
