pid,cc,lon,lat,year
AO_1454_P216_60,AO,14.638041,-7.733234,1960
AO_1454_P220_60,AO,14.506587,-7.910499,1960
AO_1454_P223c_60,AO,12.990657,-6.143789,1960
AO_1454_P227c_60,AO,12.734389,-6.507495,1960
AO_1454_P230c_60,AO,13.108889,-6.212968,1960
AO_1454_P231_60,AO,14.364047,-7.565763,1960
AO_1454_P235c_60,AO,12.774224,-6.494914,1960
AO_1454_P239c_60,AO,12.952594,-6.538023,1960
AO_1454_P244_60,AO,13.349007,-7.208925,1960
AO_1454_P245_60,AO,13.337028,-7.208895,1960
AO_1454_P247_60,AO,13.304736,-7.22128,1960
AO_1454_P248_60,AO,13.268303,-7.232034,1960
AO_1454_P249_60,AO,13.255642,-7.229,1960
AO_1454_P24c_60,AO,15.321082,-6.987161,1960
AO_1454_P253_60,AO,14.290077,-7.170269,1960
AO_1454_P256_60,AO,14.089842,-7.215215,1960
AO_1454_P256c_60,AO,12.990742,-6.628554,1960
AO_1454_P257_60,AO,13.992178,-7.209117,1960
AO_1454_P259c_60,AO,12.576225,-6.664074,1960
AO_1454_P25c_60,AO,15.318359,-7.017011,1960
AO_1454_P263_59,AO,14.0663,-6.413408,1959
AO_1454_P263_60,AO,14.332074,-7.322134,1960
AO_1454_P270c_60,AO,12.734531,-6.847918,1960
AO_1454_P271_60,AO,13.922099,-6.971549,1960
AO_1454_P272c_60,AO,12.906004,-6.978089,1960
AO_1454_P274_60,AO,13.787205,-7.290626,1960
AO_1454_P275c_60,AO,12.846189,-7.081938,1960
AO_1454_P278c_60,AO,13.120144,-6.975463,1960
AO_1454_P279_59,AO,14.871907,-6.661326,1959
AO_1454_P279_60,AO,13.732528,-7.499558,1960
AO_1454_P279c_60,AO,13.111358,-6.986747,1960
AO_1454_P282_59,AO,15.061256,-6.642982,1959
AO_1454_P285_60,AO,13.740449,-7.107065,1960
AO_1454_P289_60,AO,12.931775,-7.330225,1960
AO_1454_P290_59,AO,14.142058,-6.045043,1959
AO_1454_P290c_60,AO,13.547694,-6.982844,1960
AO_1454_P292_60,AO,12.972614,-7.426577,1960
AO_1454_P292c_60,AO,13.004337,-6.973303,1960
AO_1454_P293_60,AO,12.976874,-7.454279,1960
AO_1454_P299_60,AO,13.055992,-7.654615,1960
AO_1454_P2c_60,AO,15.389594,-6.920151,1960
AO_1454_P307_60,AO,13.573922,-7.087263,1960
AO_1454_P311_60,AO,13.266771,-7.406991,1960
AO_1454_P319_60,AO,13.013506,-7.232444,1960
AO_1454_P31c_60,AO,15.333249,-7.132657,1960
AO_1454_P33_60,AO,16.197864,-6.771345,1960
AO_1454_P330_60,AO,13.092801,-7.726055,1960
AO_1454_P335_60,AO,13.342232,-7.696448,1960
AO_1454_P337_60,AO,13.043218,-7.517506,1960
AO_1454_P33c_60,AO,15.133485,-6.628967,1960
AO_1454_P344_60,AO,13.365692,-7.651736,1960
AO_1454_P347_60,AO,13.462331,-7.57952,1960
AO_1454_P348_60,AO,13.47596,-7.571706,1960
AO_1454_P34c_60,AO,15.0943,-6.571678,1960
AO_1454_P36_60,AO,17.018465,-7.30621,1960
AO_1454_P38c_60,AO,NA,NA,1960
AO_1454_P39c_60,AO,NA,NA,1960
AO_1454_P4_60,AO,16.105507,-7.049019,1960
AO_1454_P43c_60,AO,15.177546,-7.128539,1960
AO_1454_P46c_60,AO,15.844324,-6.035486,1960
AO_1454_P48c_60,AO,15.956262,-5.902421,1960
AO_1454_P4c_60,AO,15.467051,-6.980823,1960
AO_1454_P59_60,AO,16.160004,-7.172196,1960
AO_1454_P64c_60,AO,15.474392,-6.369958,1960
AO_1454_P66c_60,AO,15.472032,-6.238769,1960
AO_1454_P6c_60,AO,15.555801,-7.037064,1960
AO_1454_P70_60,AO,15.881106,-8.175742,1960
AO_1454_P71_60,AO,15.739801,-8.018474,1960
AO_1454_P72c_60,AO,15.153948,-6.111925,1960
AO_1454_P73c_60,AO,15.094763,-6.099337,1960
AO_1454_P75_60,AO,16.777346,-7.176428,1960
AO_1454_P76c_60,AO,15.064023,-6.136418,1960
AO_1454_P78c_60,AO,15.079751,-6.198373,1960
AO_1454_P80_60,AO,16.905424,-7.079431,1960
AO_1454_P83c_60,AO,15.408327,-6.123728,1960
AO_1454_P89_60,AO,16.284765,-6.615417,1960
AO_1454_P91c_60,AO,15.031459,-6.037494,1960
AO_1454_P93c_60,AO,14.982654,-5.983944,1960
AO_1454_P94c_60,AO,14.9702,-5.954366,1960
AO_1454_P9c_60,AO,15.692612,-7.160509,1960
AO_23349_P100_58,AO,13.950173,-12.0353,1958
AO_23349_P101A_58,AO,13.935472,-12.058784,1958
AO_23349_P103_69,AO,13.76466,-13.127831,1969
AO_23349_P104_58,AO,13.883237,-12.138068,1958
AO_23349_P105_57,AO,12.624329,-13.610002,1957
AO_23349_P107_58,AO,13.844187,-12.198673,1958
AO_23349_P108_57,AO,14.612524,-13.44312,1957
AO_23349_P109_58,AO,13.796095,-12.209548,1958
AO_23349_P110_57,AO,14.631892,-13.368449,1957
AO_23349_P113_57,AO,14.624539,-13.31507,1957
AO_23349_P113_58,AO,13.852729,-12.088193,1958
AO_23349_P114_57,AO,14.611894,-13.289028,1957
AO_23349_P115_58,AO,13.796293,-12.028396,1958
AO_23349_P116_57,AO,14.501064,-13.210611,1957
AO_23349_P116_58,AO,13.765419,-12.020459,1958
AO_23349_P116_69,AO,14.147177,-12.480874,1969
AO_23349_P119_57,AO,14.407203,-13.179039,1957
AO_23349_P120_58,AO,13.767379,-11.981544,1958
AO_23349_P120_69,AO,13.99582,-12.509835,1969
AO_23349_P121_57,AO,14.350289,-13.142974,1957
AO_23349_P125_58,AO,13.959637,-12.18437,1958
AO_23349_P130_58,AO,14.108926,-12.189299,1958
AO_23349_P152_57,AO,14.613059,-13.516421,1957
AO_23349_P152_58,AO,13.731842,-12.256065,1958
AO_23349_P154_57,AO,14.67127,-13.585755,1957
AO_23349_P156_58,AO,13.747293,-12.366283,1958
AO_23349_P163_58,AO,13.835733,-12.315144,1958
AO_23349_P169_57,AO,14.599766,-13.447753,1957
AO_23349_P170_57,AO,14.621489,-13.460583,1957
AO_23349_P172_57,AO,14.615657,-13.482827,1957
AO_23349_P172_58,AO,13.605567,-12.673739,1958
AO_23349_P173_57,AO,14.616255,-13.481856,1957
AO_23349_P174_57,AO,14.596162,-13.498747,1957
AO_23349_P176_57,AO,14.610009,-13.508837,1957
AO_23349_P176_58,AO,13.374548,-12.617509,1958
AO_23349_P177_58,AO,13.359146,-12.64668,1958
AO_23349_P179_57,AO,14.627609,-13.53318,1957
AO_23349_P179_58,AO,13.362277,-12.755008,1958
AO_23349_P181_57,AO,14.643109,-13.528081,1957
AO_23349_P185_57,AO,14.667521,-13.560228,1957
AO_23349_P185A_58,AO,NA,NA,1958
AO_23349_P186_57,AO,14.664003,-13.545283,1957
AO_23349_P187_57,AO,14.664239,-13.536999,1957
AO_23349_P193_57,AO,15.016842,-13.386735,1957
AO_23349_P196_58,AO,13.364875,-12.936119,1958
AO_23349_P199_57,AO,15.129574,-12.993789,1957
AO_23349_P20_58,AO,15.103498,-12.387428,1958
AO_23349_P200_57,AO,15.113211,-12.963096,1957
AO_23349_P201_57,AO,15.219999,-13.357379,1957
AO_23349_P207_58,AO,13.41491,-12.735356,1958
AO_23349_P209_58,AO,13.465409,-12.539175,1958
AO_23349_P21_58,AO,15.127254,-12.40714,1958
AO_23349_P211_57,AO,15.055978,-13.250022,1957
AO_23349_P216_57,AO,15.057949,-13.216361,1957
AO_23349_P216_58,AO,13.177173,-12.823669,1958
AO_23349_P217_57,AO,NA,NA,1957
AO_23349_P218_46,AO,14.869701,-13.48232,1946
AO_23349_P220_57,AO,15.082603,-13.199876,1957
AO_23349_P225_58,AO,12.972509,-13.257339,1958
AO_23349_P226_57,AO,14.637468,-13.186801,1957
AO_23349_P226_58,AO,12.941342,-13.173518,1958
AO_23349_P227_57,AO,14.668364,-13.227668,1957
AO_23349_P228_57,AO,14.639914,-13.002305,1957
AO_23349_P23_58,AO,15.108408,-12.416804,1958
AO_23349_P230_57,AO,14.700513,-13.302925,1957
AO_23349_P232_58,AO,13.054134,-13.572104,1958
AO_23349_P233_57,AO,14.838479,-12.911288,1957
AO_23349_P234_57,AO,14.829925,-12.91854,1957
AO_23349_P235_58,AO,12.764063,-13.389916,1958
AO_23349_P239_57,AO,14.998938,-12.822308,1957
AO_23349_P240_58,AO,12.736952,-13.377071,1958
AO_23349_P242_57,AO,14.836796,-12.846202,1957
AO_23349_P243_57,AO,15.037001,-12.941002,1957
AO_23349_P245_57,AO,14.984664,-12.989848,1957
AO_23349_P245_58,AO,13.911674,-13.014261,1958
AO_23349_P258_57,AO,14.944274,-12.351036,1957
AO_23349_P262_57,AO,14.239968,-13.029921,1957
AO_23349_P263_58,AO,13.606663,-13.05672,1958
AO_23349_P267_57,AO,14.311834,-13.010665,1957
AO_23349_P267_58,AO,13.913818,-12.756141,1958
AO_23349_P268_57,AO,14.191619,-12.966361,1957
AO_23349_P274_57,AO,14.286984,-12.940134,1957
AO_23349_P284_57,AO,NA,NA,1957
AO_23349_P285_57,AO,NA,NA,1957
AO_23349_P286_57,AO,14.324155,-13.182676,1957
AO_23349_P287_57,AO,14.199908,-13.206533,1957
AO_23349_P289_57,AO,14.241152,-13.031337,1957
AO_23349_P293_57,AO,14.152037,-13.059262,1957
AO_23349_P295_58,AO,15.108934,-12.264503,1958
AO_23349_P30_58,AO,14.65958,-12.372407,1958
AO_23349_P45_58,AO,14.707701,-12.29171,1958
AO_23349_P47_58,AO,14.579492,-12.197701,1958
AO_23349_P482_67,AO,15.090784,-12.200792,1967
AO_23349_P49_58,AO,14.513542,-12.019297,1958
AO_23349_P60_58,AO,14.206093,-12.371038,1958
AO_23349_P62_58,AO,14.141069,-12.494195,1958
AO_23349_P65_58,AO,14.367275,-12.448232,1958
AO_23349_P69_58,AO,14.505379,-12.359147,1958
AO_23349_P72_58,AO,14.275763,-12.547403,1958
AO_23349_P74_58,AO,14.120494,-12.458791,1958
AO_23349_P78_58,AO,13.949449,-12.444914,1958
AO_23349_P8_58,AO,14.937014,-12.366391,1958
AO_23349_P82_58,AO,13.874715,-12.373713,1958
AO_23349_P83_58,AO,13.835283,-12.348327,1958
AO_23349_P84_69,AO,13.911586,-12.098007,1969
AO_23349_P86_58,AO,14.011562,-12.487245,1958
AO_23349_P89_69,AO,13.684058,-12.395279,1969
AO_23349_P91_58,AO,14.118881,-12.314203,1958
AO_23349_P91_69,AO,13.693931,-13.188889,1969
AO_23349_P92_58,AO,14.139322,-12.271902,1958
AO_23349_P93_69,AO,13.359671,-12.968489,1969
AO_23349_P95_58,AO,14.123535,-12.182403,1958
AO_23349_P98_69,AO,13.667596,-13.077064,1969
AO_23349_P99_58,AO,14.031297,-11.979545,1958
AO_23350_P100_61,AO,15.414028,-10.550665,1961
AO_23350_P105c_62,AO,15.155401,-10.127409,1962
AO_23350_P107_61,AO,15.326069,-10.609361,1961
AO_23350_P107c_62,AO,15.297055,-10.270006,1962
AO_23350_P108_61,AO,15.352494,-10.662353,1961
AO_23350_P11_61,AO,14.89331,-11.048944,1961
AO_23350_P111c_62,AO,15.375372,-9.993844,1962
AO_23350_P112c_62,AO,15.31884,-9.908471,1962
AO_23350_P114_61,AO,15.69194,-10.806586,1961
AO_23350_P115_61,AO,15.467186,-11.153291,1961
AO_23350_P116c_62,AO,15.361825,-10.08267,1962
AO_23350_P117_61,AO,15.561621,-11.295428,1961
AO_23350_P118_61,AO,15.626764,-11.368425,1961
AO_23350_P119c_62,AO,14.908475,-9.896764,1962
AO_23350_P126c_62,AO,14.925993,-9.841985,1962
AO_23350_P127_61,AO,15.310284,-11.11219,1961
AO_23350_P130c_62,AO,14.729363,-9.98638,1962
AO_23350_P131c_62,AO,14.64363,-10.020401,1962
AO_23350_P136c_62,AO,15.080729,-9.823898,1962
AO_23350_P138_58,AO,13.841253,-11.881005,1958
AO_23350_P142_61,AO,15.715799,-11.359482,1961
AO_23350_P142c_62,AO,14.578789,-10.048207,1962
AO_23350_P145_68,AO,13.786861,-10.543569,1968
AO_23350_P145c_62,AO,15.084289,-9.77464,1962
AO_23350_P148_68,AO,13.764018,-10.409491,1968
AO_23350_P158_68,AO,14.663448,-9.836425,1968
AO_23350_P159_61,AO,15.751909,-10.956964,1961
AO_23350_P161c_62,AO,15.426027,-10.191181,1962
AO_23350_P169c_62,AO,14.804372,-10.217977,1962
AO_23350_P170_68,AO,14.534868,-9.997929,1968
AO_23350_P175c_62,AO,14.588805,-10.037369,1962
AO_23350_P177c_62,AO,14.600299,-9.928981,1962
AO_23350_P180_70,AO,14.923544,-11.857187,1970
AO_23350_P182c_62,AO,14.544,-9.835912,1962
AO_23350_P183c_62,AO,14.881881,-10.055578,1962
AO_23350_P188c_62,AO,14.676529,-10.256288,1962
AO_23350_P189c_62,AO,14.644868,-10.278628,1962
AO_23350_P192c_62,AO,14.217597,-11.615572,1962
AO_23350_P193c_62,AO,14.184723,-11.600631,1962
AO_23350_P200c_62,AO,14.265297,-11.271169,1962
AO_23350_P207c_62,AO,14.175034,-11.321156,1962
AO_23350_P209_70,AO,16.126814,-10.215571,1970
AO_23350_P214_70,AO,16.376387,-10.542988,1970
AO_23350_P214c_62,AO,14.467595,-11.700517,1962
AO_23350_P215c_62,AO,14.494634,-11.686863,1962
AO_23350_P218_70,AO,16.415428,-10.775745,1970
AO_23350_P220_70,AO,15.450911,-10.141678,1970
AO_23350_P227c_62,AO,13.839487,-11.304281,1962
AO_23350_P228_70,AO,13.816543,-11.550969,1970
AO_23350_P230_70,AO,13.812082,-11.600215,1970
AO_23350_P231_70,AO,13.838486,-11.271535,1970
AO_23350_P235c_62,AO,13.958638,-11.092837,1962
AO_23350_P238c_62,AO,13.848106,-11.157374,1962
AO_23350_P240c_62,AO,13.886316,-11.092325,1962
AO_23350_P241c_62,AO,13.899668,-11.099693,1962
AO_23350_P246_70,AO,14.147052,-10.565269,1970
AO_23350_P251c_62,AO,14.295884,-11.092002,1962
AO_23350_P259c_62,AO,14.115036,-11.292748,1962
AO_23350_P26_61,AO,14.435377,-11.462919,1961
AO_23350_P266c_62,AO,14.273004,-11.243156,1962
AO_23350_P270c_62,AO,13.847683,-11.446869,1962
AO_23350_P273_58,AO,14.509905,-11.76214,1958
AO_23350_P273c_62,AO,13.890286,-11.544186,1962
AO_23350_P274c_62,AO,13.881547,-11.586448,1962
AO_23350_P275_62,AO,13.885633,-11.616023,1962
AO_23350_P285c_62,AO,NA,NA,1962
AO_23350_P287_58,AO,14.348753,-10.870015,1958
AO_23350_P29_61,AO,14.651733,-11.602033,1961
AO_23350_P3_61,AO,15.091188,-11.176158,1961
AO_23350_P304c_62,AO,14.046985,-11.158379,1962
AO_23350_P306c_62,AO,14.115099,-11.109219,1962
AO_23350_P31_61,AO,14.858209,-11.318201,1961
AO_23350_P32_61,AO,14.814492,-11.300983,1961
AO_23350_P346_62,AO,16.229277,-9.970013,1962
AO_23350_P35_61,AO,14.721945,-11.681728,1961
AO_23350_P351_62,AO,16.237734,-10.466697,1962
AO_23350_P355_62,AO,15.724394,-10.195271,1962
AO_23350_P357_62,AO,15.723228,-10.099479,1962
AO_23350_P358_62,AO,15.690494,-9.975019,1962
AO_23350_P363_60,AO,15.225951,-11.462904,1960
AO_23350_P366_62,AO,14.364009,-10.843503,1962
AO_23350_P376A_62,AO,14.186278,-10.751678,1962
AO_23350_P377_60,AO,14.935539,-11.223263,1960
AO_23350_P377_62,AO,14.143503,-10.747088,1962
AO_23350_P378_60,AO,14.961437,-11.279683,1960
AO_23350_P38_61,AO,14.64449,-10.933769,1961
AO_23350_P380_60,AO,15.080706,-11.30295,1960
AO_23350_P380_62,AO,14.21589,-10.605316,1962
AO_23350_P382_60,AO,15.084271,-11.282227,1960
AO_23350_P382_62,AO,14.237785,-10.854032,1962
AO_23350_P383_62,AO,14.190619,-10.934466,1962
AO_23350_P384_62,AO,14.152326,-10.955536,1962
AO_23350_P385_62,AO,14.094121,-10.996135,1962
AO_23350_P387_62,AO,14.215553,-10.92904,1962
AO_23350_P388_62,AO,14.164532,-10.937574,1962
AO_23350_P392_62,AO,13.837347,-10.823551,1962
AO_23350_P393_60,AO,14.980433,-11.990662,1960
AO_23350_P394_60,AO,15.041892,-11.969358,1960
AO_23350_P394_62,AO,13.937547,-10.914222,1962
AO_23350_P396_60,AO,15.08636,-11.929809,1960
AO_23350_P399_60,AO,14.865546,-11.896285,1960
AO_23350_P399_62,AO,13.829013,-10.851912,1962
AO_23350_P401_62,AO,16.042162,-10.594801,1962
AO_23350_P403_62,AO,16.113646,-10.707398,1962
AO_23350_P404_60,AO,15.225705,-11.68724,1960
AO_23350_P406_62,AO,16.110817,-10.929808,1962
AO_23350_P408_60,AO,15.187852,-11.850383,1960
AO_23350_P409_62,AO,15.934044,-10.571334,1962
AO_23350_P417_60,AO,15.044164,-11.732624,1960
AO_23350_P419_60,AO,15.158183,-11.807529,1960
AO_23350_P419_62,AO,15.845656,-10.357376,1962
AO_23350_P420_62,AO,15.656365,-10.167779,1962
AO_23350_P424_62,AO,16.19684,-10.847045,1962
AO_23350_P426_60,AO,14.912888,-11.735669,1960
AO_23350_P427_60,AO,14.886609,-11.688002,1960
AO_23350_P435_62,AO,14.764353,-10.394065,1962
AO_23350_P437_62,AO,14.270354,-10.546393,1962
AO_23350_P438_62,AO,14.22326,-10.752309,1962
AO_23350_P439_62,AO,14.204509,-10.735356,1962
AO_23350_P442_62,AO,14.246113,-10.559693,1962
AO_23350_P445_62,AO,14.219908,-10.407769,1962
AO_23350_P447_62,AO,14.149403,-10.336536,1962
AO_23350_P461_62,AO,13.690012,-10.461954,1962
AO_23350_P469_62,AO,14.16796,-11.820933,1962
AO_23350_P47_61,AO,14.574685,-10.982302,1961
AO_23350_P474_62,AO,14.380619,-11.807553,1962
AO_23350_P475_62,AO,14.250044,-11.769709,1962
AO_23350_P476_62,AO,14.230844,-11.736192,1962
AO_23350_P486_62,AO,13.812984,-11.518639,1962
AO_23350_P49_61,AO,14.509205,-10.99662,1961
