pid,top,bot,sand,bd,pH,soc
AO_1445_P115_56,84,128,56.2,NA,6.1,0.9
AO_1445_P115_56,128,170,54,NA,6.1,0.7
AO_1445_P115_56,170,215,53.7,NA,6,NA
AO_1445_P115_56,215,250,56.2,NA,5.9,NA
AO_1445_P119_46,0,20,31.1,NA,5.8,20.2
AO_1445_P119_46,20,60,30.8,NA,5.8,9.7
AO_1445_P119_46,60,110,24.2,NA,6.2,4.8
AO_1445_P119_46,110,160,21.9,NA,6.2,3.5
AO_1445_P120_46,0,20,40,NA,5.3,19.3
AO_1445_P120_46,20,50,36.3,NA,5.5,5.3
AO_1445_P120_46,50,80,NA,NA,NA,NA
AO_1445_P120_46,80,110,30.5,NA,5.6,5.9
AO_1445_P120_56,0,12,35.8,NA,6.2,27.8
AO_1445_P120_56,12,32,27.8,NA,5.7,13.8
AO_1445_P120_56,32,71,26.8,NA,5.3,4.7
AO_1445_P120_56,71,123,23.9,NA,6.2,2.4
AO_1445_P120_56,123,165,21.7,NA,6.1,1.7
AO_1445_P123_56,0,5,64.4,NA,5,18.5
AO_1445_P123_56,5,18,61.2,NA,4.9,6.3
AO_1445_P123_56,18,34,56.5,NA,5,4
AO_1445_P123_56,34,70,53.2,NA,5,1.6
AO_1445_P123_56,70,105,52.3,NA,5.1,1.1
AO_1445_P124_56,0,10,84.6,NA,5.9,5.8
AO_1445_P124_56,10,19,79,NA,5.3,2.9
AO_1445_P124_56,19,36,71.5,NA,5.3,2
AO_1445_P124_56,36,75,70.3,NA,5.3,1.5
AO_1445_P132_56,0,6,70.9,NA,6,17.8
AO_1445_P132_56,6,14,70.9,NA,6.1,15.2
AO_1445_P132_56,14,23,68.9,NA,6,6.6
AO_1445_P132_56,23,55,53.4,NA,6.3,4.5
AO_1445_P136_56,0,12,65.7,NA,4.9,NA
AO_1445_P136_56,12,37,65,NA,5,NA
AO_1445_P136_56,37,77,57,NA,5.4,NA
AO_1445_P136_56,77,115,52.9,NA,5.7,NA
AO_1445_P139_56,0,10,70.9,NA,6.7,13.3
AO_1445_P139_56,10,20,69.3,NA,5.7,6.3
AO_1445_P139_56,20,50,57.8,NA,5.7,3.3
AO_1445_P139_56,50,80,NA,NA,NA,NA
AO_1445_P139_56,80,110,49.9,NA,5.5,2
AO_1445_P139_56,110,140,50.9,NA,6.3,0.8
AO_1445_P14_56,0,9,75.5,NA,6.3,18.4
AO_1445_P14_56,9,19,77.2,NA,6.2,7.7
AO_1445_P14_56,19,55,59.3,NA,5.9,4.4
AO_1445_P14_56,55,90,59.8,NA,6.1,2.2
AO_1445_P14_56,90,125,61.4,NA,6.1,1.4
AO_1445_P14_56,125,160,62.8,NA,NA,NA
AO_1445_P140_56,0,14,74.2,NA,6.1,13
AO_1445_P140_56,14,23,73,NA,5.6,9.5
AO_1445_P140_56,23,60,64.7,NA,5.6,4.7
AO_1445_P145_56,0,6,73.6,NA,5.5,15.9
AO_1445_P145_56,6,22,68.2,NA,5.3,7.7
AO_1445_P145_56,22,45,56.4,NA,5.3,4.8
AO_1445_P145_56,45,68,56.8,NA,5.3,3.9
AO_1445_P149_56,0,10,81.1,NA,6.3,12.9
AO_1445_P149_56,10,24,84,NA,6.6,5.1
AO_1445_P149_56,24,57,51,NA,6.1,3.5
AO_1445_P149_56,57,96,39.6,NA,5.9,2.3
AO_1445_P149_56,96,143,48.9,NA,5.9,1
AO_1445_P149_56,143,190,45.4,NA,5.8,1.1
AO_1445_P150_56,0,8,47.8,NA,6.1,11.4
AO_1445_P150_56,8,18,45.9,NA,5.5,3.7
AO_1445_P150_56,18,40,43.7,NA,5.5,2.4
AO_1445_P150_56,40,65,47.6,NA,5.7,1.4
AO_1445_P150_56,65,95,47.5,NA,5.9,1.3
AO_1445_P150_56,95,138,42.7,NA,6.3,1.1
AO_1445_P150_56,138,185,33,NA,6.2,0.8
AO_1445_P151_56,0,6,72.3,NA,5.4,13.3
AO_1445_P151_56,6,23,58.9,NA,5.2,7.3
AO_1445_P151_56,23,60,53.3,NA,5.3,2.8
AO_1445_P151_56,60,105,52.3,NA,5.3,1.6
AO_1445_P151_56,105,155,51.2,NA,5.4,1.6
AO_1445_P154_56,0,12,43.8,NA,6.1,NA
AO_1445_P154_56,12,35,41.5,NA,5.6,NA
AO_1445_P154_56,35,65,47.2,NA,5.8,NA
AO_1445_P154_56,65,95,39.2,NA,6,NA
AO_1445_P154_56,95,135,40.2,NA,5.7,NA
AO_1445_P154_56,135,175,37.9,NA,6.2,NA
AO_1445_P156_56,0,5,82.3,NA,6.4,12.8
AO_1445_P156_56,5,19,77,NA,6.1,6.4
AO_1445_P156_56,19,50,67.6,NA,6.2,2.7
AO_1445_P156_56,50,90,62.1,NA,6.1,2
AO_1445_P156_56,90,125,63.4,NA,6.1,1.6
AO_1445_P156_56,125,180,NA,NA,NA,NA
AO_1445_P156_56,180,215,59.8,NA,6.1,1.2
AO_1445_P158_56,0,5,72.7,NA,6.2,NA
AO_1445_P158_56,5,20,70.7,NA,5.9,NA
AO_1445_P158_56,20,60,44.4,NA,5.9,NA
AO_1445_P158_56,60,90,53.4,NA,6,NA
AO_1445_P158_56,90,140,51.1,NA,6.3,NA
AO_1445_P160_56,0,7,62.2,NA,5.7,21.4
AO_1445_P160_56,7,27,57.4,NA,5.3,10
AO_1445_P160_56,27,60,52.5,NA,5.3,3.8
AO_1445_P160_56,60,98,51.8,NA,5.3,2.6
AO_1445_P160_56,98,135,50.6,NA,5.5,1.8
AO_1445_P160_56,135,170,51.1,NA,5.5,1.5
AO_1445_P160_56,170,205,50.3,NA,5.5,NA
AO_1445_P163_56,0,12,65.4,NA,5.9,18.4
AO_1445_P163_56,12,27,59.4,NA,5.4,12.4
AO_1445_P163_56,27,50,57.4,NA,5.3,6.9
AO_1445_P163_56,50,90,52.7,NA,5.6,3.4
AO_1445_P163_56,90,130,51.5,NA,5.6,1.9
AO_1445_P163_56,130,175,49.5,NA,5.7,1.4
AO_1445_P163_56,175,205,49.6,NA,5.8,1.3
AO_1445_P164_56,0,5,80.2,NA,6.3,24.2
AO_1445_P164_56,5,19,77.6,NA,5.6,5.8
AO_1445_P164_56,19,45,70.7,NA,5.6,4
AO_1445_P164_56,45,80,64.4,NA,6.5,2.8
AO_1445_P164_56,80,103,56.9,NA,6.3,2.2
AO_1445_P164_56,103,137,49.7,NA,5.7,1.6
AO_1445_P168_56,0,5,50,NA,5.8,32.7
AO_1445_P168_56,5,15,49.4,NA,5.5,18.8
AO_1445_P168_56,15,30,57.2,NA,5.5,13.2
AO_1445_P168_56,30,50,48.8,NA,5.6,8.1
AO_1445_P168_56,50,90,44.6,NA,5.7,5.5
AO_1445_P168_56,90,130,42.6,NA,6,3.5
AO_1445_P179_56,0,9,59.2,NA,6.6,23
AO_1445_P179_56,9,20,57.5,NA,6.4,12
AO_1445_P179_56,20,45,52.1,NA,6.5,5.3
AO_1445_P179_56,45,80,51.8,NA,6.6,3.7
AO_1445_P180_56,0,7,75,NA,6.4,21.6
AO_1445_P180_56,7,26,80.3,NA,5.9,6.3
AO_1445_P180_56,26,70,51.1,NA,5.7,3
AO_1445_P180_56,70,114,51,NA,5.6,2.2
AO_1445_P180_56,114,160,48.1,NA,5.6,1.8
AO_1445_P180_56,160,205,48.6,NA,5.4,1.2
AO_1445_P181_56,0,8,74.8,NA,5.7,40.8
AO_1445_P181_56,8,26,79.9,NA,5.7,33.2
AO_1445_P181_56,26,45,NA,NA,NA,NA
AO_1445_P181_56,45,75,80.9,NA,NA,NA
AO_1445_P181_56,75,110,80,NA,NA,NA
AO_1445_P184_56,0,8,77.3,NA,6.4,16.8
AO_1445_P184_56,8,23,73.1,NA,5.9,8.3
AO_1445_P184_56,23,50,51.9,NA,5.5,4.6
AO_1445_P184_56,50,98,42.2,NA,5.8,1.7
AO_1445_P184_56,98,153,48.3,NA,5.8,1.1
AO_1445_P184_56,153,200,43.8,NA,5.9,1.2
AO_1445_P196_56,0,6,83.5,NA,5.7,21.4
AO_1445_P196_56,6,16,85.5,NA,5.4,8.7
AO_1445_P196_56,16,28,85.3,NA,5.3,6.6
AO_1445_P196_56,28,60,84.9,NA,5.3,4.1
AO_1445_P196_56,60,82,83.2,NA,5.3,2.4
AO_1445_P196_56,82,125,80.2,NA,5.3,1.8
AO_1445_P196_56,125,165,78.1,NA,5.5,1.5
AO_1445_P197_56,0,10,90,NA,5.6,14.6
AO_1445_P197_56,10,24,94.2,NA,5.4,6.2
AO_1445_P197_56,24,40,93.7,NA,6,3.1
AO_1445_P197_56,40,58,91.6,NA,5.9,2
AO_1445_P197_56,58,100,90.1,NA,6,1.3
AO_1445_P198_56,0,10,93.9,NA,5.4,14.8
AO_1445_P198_56,10,27,94.3,NA,5.7,9.4
AO_1445_P198_56,27,47,96.3,NA,5.8,5.7
AO_1445_P198_56,47,72,97.4,NA,5.9,3.9
AO_1445_P198_56,72,110,96.2,NA,6.1,1.2
AO_1445_P20_56,0,5,68.6,NA,5.5,13.7
AO_1445_P20_56,5,17,68.6,NA,5.2,7.6
AO_1445_P20_56,17,47,59.1,NA,5.1,4
AO_1445_P20_56,47,75,57.3,NA,5.3,1.9
AO_1445_P20_56,75,110,58,NA,5.3,1.7
AO_1445_P200_56,0,10,79,NA,5.3,45.1
AO_1445_P200_56,10,30,89.3,NA,5.5,14.8
AO_1445_P200_56,30,45,90.7,NA,5.7,2.8
AO_1445_P202_56,0,10,92.1,NA,5.1,9.9
AO_1445_P202_56,10,22,91.8,NA,5.3,6
AO_1445_P202_56,22,45,93.8,NA,5.3,2.7
AO_1445_P202_56,45,85,89.8,NA,5.5,2.1
AO_1445_P202_56,85,135,57.5,NA,5.6,1.4
AO_1445_P202_56,135,175,83.1,NA,5.8,0.8
AO_1445_P202_56,175,210,81.4,NA,NA,NA
AO_1445_P206_56,0,5,79,NA,6,18.4
AO_1445_P206_56,5,13,83,NA,6.2,7.5
AO_1445_P206_56,13,22,81.6,NA,6.2,5.4
AO_1445_P206_56,22,47,71,NA,5.7,3.9
AO_1445_P206_56,47,85,70.7,NA,5.8,1.9
AO_1445_P206_56,85,115,69.8,NA,5.9,1.3
AO_1445_P206_56,115,150,66.9,NA,6.1,1.2
AO_1445_P206_56,150,196,62.2,NA,5.9,1.2
AO_1445_P206_56,196,225,60.3,NA,5.9,1.3
AO_1445_P210_56,0,7,82.6,NA,6.3,11.4
AO_1445_P210_56,7,20,83.4,NA,6.2,5
AO_1445_P210_56,20,40,65.2,NA,5.4,3.5
AO_1445_P210_56,40,70,45.7,NA,5.4,2.3
AO_1445_P210_56,70,114,48.8,NA,5.4,1.6
AO_1445_P210_56,114,160,49.1,NA,5.6,1.4
AO_1445_P211_56,0,8,68,NA,6.4,23
AO_1445_P211_56,8,23,62.5,NA,6.4,8.2
AO_1445_P211_56,23,38,52.9,NA,5.8,3.5
AO_1445_P211_56,38,63,45.9,NA,5.7,2.5
AO_1445_P211_56,63,90,46.4,NA,6,1.9
AO_1445_P211_56,90,120,45.8,NA,5.6,1.8
AO_1445_P215_56,0,6,67.9,NA,6.8,20.3
AO_1445_P215_56,6,12,69.1,NA,6.3,7.7
AO_1445_P215_56,12,30,54.6,NA,5.8,5.4
AO_1445_P215_56,30,50,39.1,NA,5.6,4.1
AO_1445_P215_56,50,85,38.7,NA,5.8,2.3
AO_1445_P215_56,85,122,40,NA,6,1.9
AO_1445_P215_56,122,170,39.6,NA,5.8,1.3
AO_1445_P215_56,170,218,38.6,NA,5.7,1.1
AO_1445_P216_56,0,10,68.7,NA,6.1,11.7
AO_1445_P216_56,10,20,59.6,NA,5.4,7.8
AO_1445_P216_56,20,45,41.1,NA,5.5,4
AO_1445_P216_56,45,75,32.5,NA,5.7,3.5
AO_1445_P221_56,0,10,77.4,NA,5.8,10.4
AO_1445_P221_56,10,23,75.9,NA,5.3,5.7
AO_1445_P221_56,23,35,65.6,NA,5.1,3.6
AO_1445_P221_56,35,80,43.7,NA,5.4,3.1
AO_1445_P221_56,80,125,51.1,NA,5.8,1.7
AO_1445_P225_56,0,8,89.1,NA,6.7,7.3
AO_1445_P225_56,8,19,87.5,NA,6.3,3.6
AO_1445_P225_56,19,40,72.4,NA,5.7,2.3
AO_1445_P225_56,40,61,66.8,NA,5.6,1.8
AO_1445_P225_56,61,105,64.5,NA,5.7,1.2
AO_1445_P225_56,105,158,69.8,NA,5.5,0.6
AO_1445_P225_56,158,205,71.5,NA,5.6,0.3
AO_1445_P227_56,0,9,84.5,NA,5.8,8.2
AO_1445_P227_56,9,20,89,NA,5.6,2.6
AO_1445_P227_56,20,32,85,NA,5.9,2.1
AO_1445_P227_56,32,48,75.2,NA,5.3,1.7
AO_1445_P227_56,48,82,61.1,NA,5.3,1.8
AO_1445_P227_56,82,126,67.5,NA,5.4,1.2
AO_1445_P227_56,126,173,66.4,NA,5.5,0.6
AO_1445_P227_56,173,213,67.2,NA,5.5,0.4
AO_1445_P236_56,0,7,79.4,NA,5.5,NA
AO_1445_P236_56,7,24,81.7,NA,5.1,NA
AO_1445_P236_56,24,52,80,NA,5.2,NA
AO_1445_P236_56,52,90,78.9,NA,5.3,NA
AO_1445_P236_56,90,140,77.7,NA,5.2,NA
AO_1445_P236_56,140,185,78.5,NA,5.7,NA
AO_1445_P238_56,0,9,83.7,NA,6.2,14.8
AO_1445_P238_56,9,25,82.4,NA,5.7,4.4
AO_1445_P238_56,25,40,83.2,NA,5.4,2.7
AO_1445_P238_56,40,58,81.5,NA,5.4,1.4
AO_1445_P238_56,58,102,74,NA,5.2,1
AO_1445_P238_56,102,148,77.7,NA,5.4,0.5
AO_1445_P238_56,148,191,79.6,NA,5.4,0.3
AO_1445_P238_56,191,230,78.8,NA,5.5,0.3
AO_1445_P238_56,230,266,78.3,NA,5.3,0.2
AO_1445_P240_56,0,11,62.9,NA,5.9,18
AO_1445_P240_56,11,23,57.1,NA,5.5,11.4
AO_1445_P240_56,23,58,46.2,NA,6.2,3.6
AO_1445_P240_56,58,100,52.8,NA,6.1,1.7
AO_1445_P246_56,0,10,84.8,NA,5.6,6.7
AO_1445_P246_56,10,30,83.7,NA,5.4,2.7
AO_1445_P246_56,30,55,76.6,NA,5.5,1.2
AO_1445_P246_56,55,90,73.9,NA,5.5,1
AO_1445_P246_56,90,125,66.5,NA,5.7,0.8
AO_1445_P251_56,0,11,76.6,NA,6.4,9.3
AO_1445_P251_56,11,22,72.1,NA,6.2,7.8
AO_1445_P251_56,22,58,65.5,NA,6.2,3.5
AO_1445_P251_56,58,109,67.5,NA,6.5,1.7
AO_1445_P251_56,109,159,66,NA,6.7,1.4
AO_1445_P251_56,159,204,69,NA,6.8,1.2
AO_1445_P251_56,204,225,67.8,NA,6.5,1.1
AO_1445_P255_56,0,8,53.3,NA,6.3,26.4
AO_1445_P255_56,8,25,62.4,NA,6,12.9
AO_1445_P255_56,25,55,63.4,NA,6.1,6.3
AO_1445_P255_56,55,85,NA,NA,NA,NA
AO_1445_P255_56,85,130,63.6,NA,6.4,4
AO_1445_P255_56,130,170,54.8,NA,6.6,NA
AO_1445_P257_56,0,17,50.8,NA,6.2,14.7
AO_1445_P257_56,17,62,41.9,NA,6.8,2
AO_1445_P257_56,62,110,40.2,NA,6.4,0.8
AO_1445_P258_56,0,14,88.9,NA,6.1,7
AO_1445_P258_56,14,30,89.1,NA,6,2.8
AO_1445_P258_56,30,62,84.9,NA,6,1.6
AO_1445_P258_56,62,95,85.4,NA,5.8,1.1
AO_1445_P258_56,95,122,86.4,NA,5.8,0.7
AO_1445_P258_56,122,160,87.9,NA,5.8,0.1
AO_1445_P259_56,0,9,78.5,NA,6.4,17
AO_1445_P259_56,9,22,82.7,NA,6.2,7.3
AO_1445_P259_56,22,60,78.6,NA,6,4.6
AO_1445_P259_56,60,105,78,NA,6.2,2
AO_1445_P26_56,0,15,75.7,NA,6.2,12.2
AO_1445_P26_56,15,30,69.7,NA,5.9,5.2
AO_1445_P26_56,30,45,65.5,NA,5.6,2.9
AO_1445_P26_56,45,70,60.8,NA,5.6,1.5
AO_1445_P26_56,70,100,60.6,NA,5.8,1.1
AO_1445_P26_56,100,135,62.6,NA,5.8,1
AO_1445_P26_56,135,170,59.4,NA,5.7,0.9
AO_1445_P260_56,0,7,50.8,NA,7,29.8
AO_1445_P260_56,7,25,45.8,NA,5.7,7.8
AO_1445_P260_56,25,60,41.7,NA,5.7,2.4
AO_1445_P261_56,0,10,60.2,NA,6.4,21.8
AO_1445_P261_56,10,23,NA,NA,NA,NA
AO_1445_P261_56,23,65,45.6,NA,6.3,3.4
AO_1445_P261_56,65,115,NA,NA,NA,NA
AO_1445_P261_56,115,155,40.4,NA,6.5,1.2
AO_1445_P266_56,0,7,48.7,NA,6,21.1
AO_1445_P266_56,7,18,46,NA,5.6,18.4
AO_1445_P266_56,18,33,45.5,NA,5.5,12.3
AO_1445_P266_56,33,75,40.3,NA,5.6,3.9
AO_1445_P267_56,0,8,86.7,NA,6.2,9.8
AO_1445_P267_56,8,26,86,NA,5.7,4.5
AO_1445_P267_56,26,50,87.3,NA,5.4,2.5
AO_1445_P267_56,50,80,81.3,NA,5.7,1.3
AO_1445_P267_56,80,115,82.3,NA,5.8,1.1
AO_1445_P273_56,0,8,56.3,NA,5.9,20.5
AO_1445_P273_56,8,17,57,NA,5.4,12.9
AO_1445_P273_56,17,45,53.7,NA,5.4,4.6
AO_1445_P276_56,0,12,87.5,NA,6.3,8.9
AO_1445_P276_56,12,30,85.5,NA,6.2,2.8
AO_1445_P276_56,30,60,78.4,NA,5.9,1.7
AO_1445_P276_56,60,86,69.6,NA,5.4,1.2
AO_1445_P276_56,86,133,58.1,NA,5.5,0.9
AO_1445_P276_56,133,180,62.9,NA,5.4,0.5
AO_1445_P28_56,0,10,36,NA,6.3,17.7
AO_1445_P28_56,10,30,22.6,NA,6.4,16.3
AO_1445_P28_56,30,65,28.6,NA,6.4,2.1
AO_1445_P28_56,65,100,30,NA,6.5,1.4
AO_1445_P28_56,100,135,29,NA,6.7,1.5
AO_1445_P28_56,135,170,28.2,NA,6.6,1.2
AO_1445_P29_56,0,7,85.3,NA,6.4,6.4
AO_1445_P29_56,7,17,81.8,NA,6.5,5.7
AO_1445_P29_56,17,28,80.5,NA,6.4,4.3
AO_1445_P29_56,28,65,47.4,NA,6,2.2
AO_1445_P29_56,65,100,40.9,NA,6.1,0.9
AO_1445_P29_56,100,135,41.4,NA,5.9,0.8
AO_1445_P32_56,0,6,78.6,NA,5.8,12.3
AO_1445_P32_56,6,26,81.6,NA,5.5,6.6
AO_1445_P32_56,26,48,73.7,NA,5.3,3
AO_1445_P32_56,48,80,49.1,NA,5.4,2
AO_1445_P32_56,80,115,42.1,NA,5.5,1.4
AO_1445_P32_56,115,150,48.1,NA,5.5,1
AO_1445_P32_56,150,190,47.6,NA,5.9,0.7
AO_1445_P33_56,0,13,90.1,NA,5.8,4.4
AO_1445_P33_56,13,30,87.5,NA,5.6,3.7
AO_1445_P33_56,30,78,NA,NA,NA,NA
AO_1445_P33_56,78,110,74.3,NA,5.6,1
AO_1445_P33_56,110,150,74.5,NA,5.7,0.4
AO_1445_P33_56,150,185,73.9,NA,5.7,0.3
AO_1445_P40_56,0,5,87.3,NA,6.2,8.1
AO_1445_P40_56,5,13,86.5,NA,5.7,5.2
AO_1445_P40_56,13,23,83.7,NA,5.5,3.1
AO_1445_P40_56,23,50,79.2,NA,5.5,2.2
AO_1445_P40_56,50,80,74.5,NA,5.5,1.1
AO_1445_P40_56,80,115,74.6,NA,5.5,1
AO_1445_P40_56,115,155,72.3,NA,5.4,0.7
AO_1445_P47_56,0,5,78.8,NA,6.2,10.9
AO_1445_P47_56,5,14,75.4,NA,5.6,6.5
AO_1445_P47_56,14,27,70.9,NA,5.6,4.7
AO_1445_P47_56,27,53,58.6,NA,5.6,3.2
AO_1445_P47_56,53,89,53,NA,5.9,2.6
AO_1445_P47_56,89,138,54.2,NA,6.1,2
AO_1445_P47_56,138,180,54,NA,6.1,1.8
AO_1445_P50_56,0,8,80.6,NA,6.4,8.1
AO_1445_P50_56,8,20,69.3,NA,5.5,4.6
AO_1445_P50_56,20,45,52.6,NA,5.6,2.8
AO_1445_P50_56,45,88,50,NA,5.7,1.1
AO_1445_P50_56,88,133,50.9,NA,5.7,1
AO_1445_P59_56,0,8,73.4,NA,6.5,26.6
AO_1445_P59_56,8,20,78.7,NA,6,10.1
AO_1445_P59_56,20,50,61.6,NA,5.9,3.4
AO_1445_P63_56,0,18,95.6,NA,5.7,9.3
AO_1445_P63_56,18,32,97,NA,5.9,5.5
AO_1445_P63_56,32,55,98.2,NA,6.2,4.2
AO_1445_P63_56,55,84,96.1,NA,6.2,2.7
AO_1445_P63_56,84,115,92.3,NA,6.3,1.3
AO_1445_P7_56,0,5,53.5,NA,6.1,21.4
AO_1445_P7_56,5,17,85,NA,5.9,8.3
AO_1445_P7_56,17,37,82,NA,5.5,5.3
AO_1445_P7_56,37,56,80.9,NA,5.1,3.9
AO_1445_P7_56,56,95,76.7,NA,5.1,1.9
AO_1445_P7_56,95,140,75.6,NA,5.2,1.2
AO_1445_P7_56,140,180,77.1,NA,5.4,0.8
AO_1445_P71_56,0,4,87.4,NA,5.4,8.3
AO_1445_P71_56,4,13,82.8,NA,5.3,3.4
AO_1445_P71_56,13,25,73.8,NA,5.2,2.8
AO_1445_P71_56,25,45,64.9,NA,5.1,2.2
AO_1445_P71_56,45,80,48.4,NA,5.2,2.2
AO_1445_P71_56,80,118,45.2,NA,5.5,1.2
AO_1445_P71_56,118,145,38.6,NA,5.6,1.3
AO_1445_P72_56,0,15,94.4,NA,5.6,9
AO_1445_P72_56,15,32,97.4,NA,5.9,6.7
AO_1445_P72_56,32,53,96.4,NA,6,2.1
AO_1445_P72_56,53,75,96.1,NA,6.1,1.3
AO_1445_P74_56,0,10,79.4,NA,5.2,12.3
AO_1445_P74_56,10,20,82.8,NA,5,7.1
AO_1445_P74_56,20,50,77.9,NA,5.1,3.6
AO_1445_P74_56,50,75,73.8,NA,5.1,3.5
AO_1445_P75_56,0,10,31.4,NA,6,28.5
AO_1445_P75_56,10,30,30.7,NA,5.7,16.3
AO_1445_P75_56,30,70,21.8,NA,6,6.9
AO_1445_P75_56,70,110,25.9,NA,6.2,3.6
AO_1445_P75_56,110,150,24.3,NA,6.1,3.1
AO_1445_P82_56,0,8,81.1,NA,6.5,18.5
AO_1445_P82_56,8,22,78.5,NA,5.4,8.7
AO_1445_P82_56,22,52,62.1,NA,6,2.2
AO_1445_P82_56,52,70,NA,NA,NA,NA
AO_1445_P82_56,70,110,63.1,NA,5.4,3.8
AO_1445_P82_56,110,145,NA,NA,NA,NA
AO_1445_P82_56,145,185,49.7,NA,5.7,1.8
AO_1445_P86_56,0,6,76.2,NA,5.6,19.4
AO_1445_P86_56,6,16,77.1,NA,5.2,7.5
AO_1445_P86_56,16,35,74.9,NA,5.9,3.3
AO_1445_P86_56,35,57,72.3,NA,5.8,2.9
AO_1445_P87_56,0,7,69.5,NA,6.1,18
AO_1445_P87_56,7,15,69.2,NA,5.8,10.7
AO_1445_P87_56,15,33,58.2,NA,5.4,7
AO_1445_P87_56,33,65,54.4,NA,5.4,3.9
AO_1445_P87_56,65,100,56.7,NA,5.5,3.5
AO_1445_P87_56,100,135,55.8,NA,5.5,2.2
AO_1445_P87_56,135,175,56.2,NA,5.5,1.9
AO_1445_P93_56,0,7,80.4,NA,5.6,15.3
AO_1445_P93_56,7,22,73.8,NA,5.5,6.6
AO_1445_P93_56,22,50,68.1,NA,5.6,3.1
AO_1445_P93_56,50,80,68.1,NA,5.4,2.1
AO_1445_P93_56,80,110,67.2,NA,5.9,1.5
AO_1445_P95_56,0,18,90.6,NA,5.7,25
AO_1445_P95_56,18,48,93.5,NA,5.8,11
AO_1445_P95_56,48,87,92.3,NA,6,7.7
AO_1445_P95_56,87,105,97.5,NA,6.2,2.3
AO_1445_P99_56,0,10,85.1,NA,6.1,17.8
AO_1445_P99_56,10,20,78.8,NA,5.3,12.1
AO_1445_P99_56,20,48,77.4,NA,5.2,4.5
AO_1445_P99_56,48,90,75.6,NA,5.4,1.7
AO_1445_P99_56,90,148,75.6,NA,5.4,1.2
AO_1445_P99_56,148,190,70.7,NA,5.5,1.3
AO_1446_P26_57,0,7,98.3,NA,7.6,0.9
AO_1446_P26_57,7,35,98.2,NA,8,0.3
AO_1446_P26_57,35,78,98.6,NA,7.5,0.4
AO_1446_P26_57,78,120,98.5,NA,6.9,0.1
AO_1446_P287_56,0,6,88.6,NA,6.5,3.8
AO_1446_P287_56,6,27,86.4,NA,6.2,2.8
AO_1446_P287_56,27,57,76.4,NA,6.2,2.3
AO_1446_P287_56,57,97,75.8,NA,6.4,1.8
AO_1446_P287_56,97,150,74.4,NA,6.6,0.8
AO_1446_P3_59BACFM,0,20,91.3,NA,6.5,3.2
AO_1446_P3_59BACFM,20,42,87.1,NA,6.1,2.6
AO_1446_P3_59BACFM,42,70,76.3,NA,6.1,4
AO_1446_P3_59BACFM,70,100,65.9,NA,5.9,NA
AO_1446_P3_59BACFM,100,130,84.6,NA,6,NA
AO_1446_P30_57,0,10,94,NA,7.5,0.5
AO_1446_P30_57,10,40,90.5,NA,7.6,0.5
AO_1446_P30_57,40,75,88.5,NA,7,0.5
AO_1446_P30_57,75,110,87.7,NA,8.4,0.3
AO_1446_P302_56,0,9,86.7,NA,6.2,5
AO_1446_P302_56,9,26,86.6,NA,6,3.1
AO_1446_P302_56,26,54,87.1,NA,6,1.5
